tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,note,velocity
0,time_signature,4,4,96,8,0,1,0,,,,,,,,
0,track_name,,,,,0,1,7,,,,,,,,
0,control_change,,,,,0,0,7,,,0,0,0,,,
0,program_change,,,,,0,0,7,,,,,0,40,,
0,control_change,,,,,0,0,7,,,7,100,0,,,
0,control_change,,,,,0,0,7,,,91,107,0,,,
0,control_change,,,,,0,0,16,,,91,105,7,,,
0,control_change,,,,,0,0,16,,,7,45,7,,,
0,program_change,,,,,0,0,16,,,,,7,19,,
0,control_change,,,,,0,0,16,,,0,0,7,,,
0,track_name,,,,,0,1,16,,,,,,,,
0,control_change,,,,,0,0,15,,,91,105,7,,,
0,control_change,,,,,0,0,15,,,7,45,7,,,
0,program_change,,,,,0,0,15,,,,,7,19,,
0,control_change,,,,,0,0,15,,,0,0,7,,,
0,track_name,,,,,0,1,15,,,,,,,,
0,end_of_track,,,,,0,1,6,,,,,,,,
0,control_change,,,,,0,0,6,,,91,107,0,,,
0,control_change,,,,,0,0,6,,,7,100,0,,,
0,program_change,,,,,0,0,6,,,,,0,40,,
0,program_change,,,,,0,0,3,,,,,0,40,,
0,end_of_track,,,,,0,1,3,,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,,
0,control_change,,,,,0,0,4,,,0,0,0,,,
0,program_change,,,,,0,0,4,,,,,0,40,,
0,control_change,,,,,0,0,4,,,7,100,0,,,
0,control_change,,,,,0,0,4,,,91,107,0,,,
0,control_change,,,,,0,0,14,,,91,107,6,,,
0,end_of_track,,,,,0,1,4,,,,,,,,
0,control_change,,,,,0,0,5,,,0,0,0,,,
0,program_change,,,,,0,0,5,,,,,0,40,,
0,control_change,,,,,0,0,5,,,7,100,0,,,
0,control_change,,,,,0,0,5,,,91,107,0,,,
0,end_of_track,,,,,0,1,5,,,,,,,,
0,track_name,,,,,0,1,6,,,,,,,,
0,control_change,,,,,0,0,6,,,0,0,0,,,
0,track_name,,,,,0,1,5,,,,,,,,
0,control_change,,,,,0,0,14,,,10,77,6,,,
0,control_change,,,,,0,0,14,,,7,45,6,,,
0,program_change,,,,,0,0,14,,,,,6,6,,
0,track_name,,,,,0,1,11,,,,,,,,
0,control_change,,,,,0,0,10,,,91,108,3,,,
0,control_change,,,,,0,0,10,,,7,92,3,,,
0,program_change,,,,,0,0,10,,,,,3,48,,
0,control_change,,,,,0,0,10,,,0,0,3,,,
0,track_name,,,,,0,1,10,,,,,,,,
0,control_change,,,,,0,0,9,,,91,108,2,,,
0,control_change,,,,,0,0,11,,,0,0,4,,,
0,control_change,,,,,0,0,9,,,10,36,2,,,
0,program_change,,,,,0,0,9,,,,,2,48,,
0,control_change,,,,,0,0,9,,,0,0,2,,,
0,track_name,,,,,0,1,9,,,,,,,,
0,control_change,,,,,0,0,8,,,91,107,1,,,
0,control_change,,,,,0,0,8,,,10,49,1,,,
0,control_change,,,,,0,0,8,,,7,104,1,,,
0,program_change,,,,,0,0,8,,,,,1,48,,
0,control_change,,,,,0,0,9,,,7,96,2,,,
0,control_change,,,,,0,0,3,,,91,107,0,,,
0,program_change,,,,,0,0,11,,,,,4,48,,
0,control_change,,,,,0,0,11,,,10,79,4,,,
0,control_change,,,,,0,0,14,,,0,0,6,,,
0,track_name,,,,,0,1,14,,,,,,,,
0,control_change,,,,,0,0,13,,,91,107,6,,,
0,control_change,,,,,0,0,13,,,10,77,6,,,
0,control_change,,,,,0,0,13,,,7,45,6,,,
0,program_change,,,,,0,0,13,,,,,6,6,,
0,control_change,,,,,0,0,13,,,0,0,6,,,
0,control_change,,,,,0,0,11,,,7,82,4,,,
0,track_name,,,,,0,1,13,,,,,,,,
0,control_change,,,,,0,0,12,,,91,108,5,,,
0,control_change,,,,,0,0,12,,,10,90,5,,,
0,control_change,,,,,0,0,12,,,7,72,5,,,
0,program_change,,,,,0,0,12,,,,,5,48,,
0,control_change,,,,,0,0,12,,,0,0,5,,,
0,track_name,,,,,0,1,12,,,,,,,,
0,control_change,,,,,0,0,11,,,91,107,4,,,
0,control_change,,,,,0,0,8,,,0,0,1,,,
0,control_change,,,,,0,0,3,,,7,100,0,,,
