tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,program_change,0,0,5,,,,,,,48,4,,,,
0,track_name,0,1,5,,,,,,,,,,,,
0,end_of_track,0,1,14,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,3,91,100,,
0,control_change,0,0,4,,,,,,,,3,10,45,,
0,control_change,0,0,4,,,,,,,,3,7,127,,
0,program_change,0,0,4,,,,,,,48,3,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,4,7,127,,
0,note_on,0,0,3,,,,,,,,2,,,65,85
0,control_change,0,0,3,,,,,,,,2,10,109,,
0,control_change,0,0,3,,,,,,,,2,7,127,,
0,program_change,0,0,3,,,,,,,48,2,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,1,,,65,85
0,control_change,0,0,2,,,,,,,,1,91,80,,
0,control_change,0,0,2,,,,,,,,1,10,18,,
0,control_change,0,0,2,,,,,,,,1,7,127,,
0,control_change,0,0,3,,,,,,,,2,91,80,,
0,control_change,0,0,5,,,,,,,,4,10,82,,
0,control_change,0,0,5,,,,,,,,4,91,100,,
0,track_name,0,1,6,,,,,,,,,,,,
0,track_name,0,1,14,,,,,,,,,,,,
0,end_of_track,0,1,13,,,,,,,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,
