tick,type,time,meta,track,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,8,10,64,,
0,control_change,0,0,6,,,,,,,,,8,7,127,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,control_change,0,0,5,,,,,,,,,7,10,64,,
0,control_change,0,0,5,,,,,,,,,7,7,111,,
0,program_change,0,0,5,,,,,,,,0,7,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,control_change,0,0,4,,,,,,,,,4,10,64,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,control_change,0,0,4,,,,,,,,,4,7,111,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,control_change,0,0,12,,,,,,,,,14,10,64,,
0,control_change,0,0,3,,,,,,,,,6,10,64,,
0,control_change,0,0,3,,,,,,,,,6,7,115,,
0,program_change,0,0,3,,,,,,,,0,6,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,control_change,0,0,2,,,,,,,,,1,10,64,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,program_change,0,0,2,,,,,,,,48,1,,,,
0,program_change,0,0,4,,,,,,,,0,4,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,9,10,64,,
0,control_change,0,0,12,,,,,,,,,14,7,127,,
0,track_name,0,1,12,,,,,,,,,,,,,
0,midi_port,0,1,12,,,,,,,0,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,,
0,control_change,0,0,11,,,,,,,,,13,10,64,,
0,control_change,0,0,11,,,,,,,,,13,7,127,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,midi_port,0,1,11,,,,,,,0,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,,12,10,64,,
0,control_change,0,0,10,,,,,,,,,12,7,127,,
0,control_change,0,0,7,,,,,,,,,9,7,127,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,11,10,64,,
0,control_change,0,0,9,,,,,,,,,11,7,127,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,10,10,64,,
0,control_change,0,0,8,,,,,,,,,10,7,127,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,program_change,0,0,1,,,,,,,,48,0,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,10,64,,
0,set_tempo,0,1,0,416666,,,,,,,,,,,,
0,key_signature,0,1,0,,G,,,,,,,,,,,
0,time_signature,0,1,0,,,4,4,24,8,,,,,,,
768,note_on,768,0,3,,,,,,,,,6,,,67,108
768,time_signature,0,1,0,,,2,4,24,8,,,,,,,
768,set_tempo,768,1,0,600000,,,,,,,,,,,,
814,note_on,46,0,3,,,,,,,,,6,,,67,0
816,note_on,2,0,3,,,,,,,,,6,,,71,108
816,note_on,816,0,5,,,,,,,,,7,,,55,108
816,note_on,816,0,4,,,,,,,,,4,,,62,108
976,note_on,160,0,5,,,,,,,,,7,,,55,0
976,note_on,160,0,4,,,,,,,,,4,,,62,0
976,note_on,160,0,3,,,,,,,,,6,,,71,0
1008,note_on,32,0,3,,,,,,,,,6,,,72,108
1008,note_on,32,0,4,,,,,,,,,4,,,64,108
1008,note_on,32,0,5,,,,,,,,,7,,,48,108
1168,note_on,160,0,4,,,,,,,,,4,,,64,0
1168,note_on,160,0,3,,,,,,,,,6,,,72,0
1168,note_on,160,0,5,,,,,,,,,7,,,48,0
1200,note_on,32,0,4,,,,,,,,,4,,,59,108
1200,note_on,0,0,4,,,,,,,,,4,,,67,108
1200,note_on,32,0,3,,,,,,,,,6,,,74,108
1200,note_on,32,0,5,,,,,,,,,7,,,43,108
1360,note_on,160,0,3,,,,,,,,,6,,,74,0
1360,note_on,160,0,4,,,,,,,,,4,,,59,0
1360,note_on,0,0,4,,,,,,,,,4,,,67,0
1360,note_on,160,0,5,,,,,,,,,7,,,43,0
1488,note_on,128,0,3,,,,,,,,,6,,,76,108
1534,note_on,46,0,3,,,,,,,,,6,,,76,0
1536,note_on,2,0,3,,,,,,,,,6,,,78,108
1582,note_on,46,0,3,,,,,,,,,6,,,78,0
1584,note_on,224,0,4,,,,,,,,,4,,,71,108
1584,note_on,2,0,3,,,,,,,,,6,,,79,108
1584,note_on,224,0,5,,,,,,,,,7,,,55,108
1678,note_on,94,0,3,,,,,,,,,6,,,79,0
1680,note_on,2,0,3,,,,,,,,,6,,,78,108
1726,note_on,46,0,3,,,,,,,,,6,,,78,0
1728,note_on,2,0,3,,,,,,,,,6,,,76,108
1744,note_on,160,0,4,,,,,,,,,4,,,71,0
1744,note_on,160,0,5,,,,,,,,,7,,,55,0
1774,note_on,46,0,3,,,,,,,,,6,,,76,0
1776,note_on,2,0,3,,,,,,,,,6,,,74,108
1776,note_on,32,0,5,,,,,,,,,7,,,54,108
1776,note_on,32,0,4,,,,,,,,,4,,,69,108
1870,note_on,94,0,3,,,,,,,,,6,,,74,0
1872,note_on,2,0,3,,,,,,,,,6,,,72,108
1936,note_on,160,0,4,,,,,,,,,4,,,69,0
1936,note_on,160,0,5,,,,,,,,,7,,,54,0
1966,note_on,94,0,3,,,,,,,,,6,,,72,0
1968,note_on,2,0,3,,,,,,,,,6,,,71,108
1968,note_on,32,0,5,,,,,,,,,7,,,55,108
1968,note_on,32,0,4,,,,,,,,,4,,,62,108
2062,note_on,94,0,3,,,,,,,,,6,,,71,0
2064,note_on,2,0,3,,,,,,,,,6,,,69,108
2110,note_on,46,0,3,,,,,,,,,6,,,69,0
2112,note_on,2,0,3,,,,,,,,,6,,,67,108
2128,note_on,160,0,4,,,,,,,,,4,,,62,0
2128,note_on,160,0,5,,,,,,,,,7,,,55,0
2158,note_on,46,0,3,,,,,,,,,6,,,67,0
2160,note_on,2,0,3,,,,,,,,,6,,,66,108
2160,note_on,32,0,4,,,,,,,,,4,,,66,108
2160,note_on,32,0,5,,,,,,,,,7,,,54,108
2254,note_on,94,0,4,,,,,,,,,4,,,66,0
2254,note_on,94,0,5,,,,,,,,,7,,,54,0
2254,note_on,94,0,3,,,,,,,,,6,,,66,0
2256,note_on,2,0,5,,,,,,,,,7,,,52,108
2256,note_on,2,0,3,,,,,,,,,6,,,64,108
2256,note_on,2,0,4,,,,,,,,,4,,,64,108
2350,note_on,94,0,4,,,,,,,,,4,,,64,0
2350,note_on,94,0,5,,,,,,,,,7,,,52,0
