tick,type,time,meta,track,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,7,10,64,,
0,control_change,0,0,8,,,,,,,,,7,7,96,,
0,program_change,0,0,8,,,,,,,,43,7,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,5,10,64,,
0,control_change,0,0,6,,,,,,,,,5,7,96,,
0,program_change,0,0,6,,,,,,,,68,5,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,4,10,64,,
0,control_change,0,0,5,,,,,,,,,4,7,96,,
0,program_change,0,0,5,,,,,,,,56,4,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,control_change,0,0,15,,,,,,,,,14,10,64,,
0,control_change,0,0,4,,,,,,,,,3,10,64,,
0,control_change,0,0,4,,,,,,,,,3,7,127,,
0,program_change,0,0,4,,,,,,,,48,3,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,control_change,0,0,3,,,,,,,,,2,10,64,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,program_change,0,0,3,,,,,,,,48,2,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,8,10,64,,
0,control_change,0,0,15,,,,,,,,,14,7,127,,
0,track_name,0,1,15,,,,,,,,,,,,,
0,midi_port,0,1,15,,,,,,,0,,,,,,
0,end_of_track,0,1,14,,,,,,,,,,,,,
0,control_change,0,0,14,,,,,,,,,13,10,64,,
0,control_change,0,0,14,,,,,,,,,13,7,127,,
0,track_name,0,1,14,,,,,,,,,,,,,
0,midi_port,0,1,14,,,,,,,0,,,,,,
0,end_of_track,0,1,13,,,,,,,,,,,,,
0,control_change,0,0,13,,,,,,,,,12,10,64,,
0,control_change,0,0,13,,,,,,,,,12,7,127,,
0,track_name,0,1,13,,,,,,,,,,,,,
0,midi_port,0,1,13,,,,,,,0,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,,
0,control_change,0,0,12,,,,,,,,,11,10,64,,
0,control_change,0,0,12,,,,,,,,,11,7,127,,
0,track_name,0,1,12,,,,,,,,,,,,,
0,midi_port,0,1,12,,,,,,,0,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,,
0,control_change,0,0,11,,,,,,,,,10,10,64,,
0,control_change,0,0,11,,,,,,,,,10,7,127,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,midi_port,0,1,11,,,,,,,0,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,,9,10,64,,
0,control_change,0,0,10,,,,,,,,,9,7,127,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,8,7,127,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,end_of_track,0,1,15,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,,1,10,64,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,control_change,0,0,1,,,,,,,,,0,10,64,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,program_change,0,0,1,,,,,,,,48,0,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,48,1,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,time_signature,0,1,0,,,4,4,24,8,,,,,,,
0,key_signature,0,1,0,,G,,,,,,,,,,,
0,set_tempo,0,1,0,416666,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
768,note_on,768,0,8,,,,,,,,,7,,,40,108
768,note_on,0,0,8,,,,,,,,,7,,,52,108
768,note_on,768,0,1,,,,,,,,,0,,,71,108
768,note_on,768,0,2,,,,,,,,,1,,,67,108
768,note_on,768,0,4,,,,,,,,,3,,,52,108
768,set_tempo,768,1,0,731707,,,,,,,,,,,,
768,note_on,768,0,3,,,,,,,,,2,,,59,108
1104,note_on,336,0,8,,,,,,,,,7,,,40,0
1104,note_on,336,0,4,,,,,,,,,3,,,52,0
1104,note_on,336,0,3,,,,,,,,,2,,,59,0
1104,note_on,336,0,2,,,,,,,,,1,,,67,0
1104,note_on,0,0,8,,,,,,,,,7,,,52,0
1104,note_on,336,0,1,,,,,,,,,0,,,71,0
1152,note_on,0,0,8,,,,,,,,,7,,,52,108
1152,note_on,48,0,3,,,,,,,,,2,,,59,108
