tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,0,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,8,10,64,,
0,control_change,0,0,5,,,,,,,,8,7,127,,
0,track_name,0,1,5,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,0,,,,,,
0,control_change,0,0,4,,,,,,,,7,10,64,,
0,control_change,0,0,4,,,,,,,,7,7,111,,
0,program_change,0,0,4,,,,,,,43,7,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,0,,,,,,
0,control_change,0,0,11,,,,,,,,14,10,64,,
0,control_change,0,0,3,,,,,,,,6,10,64,,
0,control_change,0,0,3,,,,,,,,6,7,111,,
0,program_change,0,0,3,,,,,,,41,6,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,0,,,,,,
0,control_change,0,0,2,,,,,,,,5,10,64,,
0,control_change,0,0,2,,,,,,,,5,7,115,,
0,program_change,0,0,2,,,,,,,68,5,,,,
0,control_change,0,0,6,,,,,,,,9,7,127,,
0,control_change,0,0,6,,,,,,,,9,10,64,,
0,end_of_track,0,1,6,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,0,,,,,,
0,control_change,0,0,11,,,,,,,,14,7,127,,
0,track_name,0,1,11,,,,,,,,,,,,
0,midi_port,0,1,11,,,,,,0,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,13,10,64,,
0,control_change,0,0,10,,,,,,,,13,7,127,,
0,track_name,0,1,10,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,0,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,12,10,64,,
0,track_name,0,1,2,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,12,7,127,,
0,midi_port,0,1,9,,,,,,0,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,11,10,64,,
0,control_change,0,0,8,,,,,,,,11,7,127,,
0,track_name,0,1,8,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,0,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,10,10,64,,
0,control_change,0,0,7,,,,,,,,10,7,127,,
0,track_name,0,1,7,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,0,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,0,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,
0,set_tempo,0,1,0,416666,,,,,,,,,,,
0,time_signature,0,1,0,,4,4,24,8,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,48,0,,,,
0,control_change,0,0,1,,,,,,,,0,7,127,,
0,control_change,0,0,1,,,,,,,,0,10,64,,
768,time_signature,0,1,0,,12,8,24,8,,,,,,,
768,set_tempo,768,1,0,869565,,,,,,,,,,,
768,note_on,768,0,2,,,,,,,,5,,,72,75
768,note_on,768,0,3,,,,,,,,6,,,64,75
