tick,type,time,meta,track,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,end_of_track,0,1,5,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,8,10,64,,
0,control_change,0,0,5,,,,,,,,,8,7,127,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,control_change,0,0,4,,,,,,,,,7,10,64,,
0,control_change,0,0,4,,,,,,,,,7,7,111,,
0,program_change,0,0,4,,,,,,,,0,7,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,control_change,0,0,11,,,,,,,,,14,10,64,,
0,control_change,0,0,3,,,,,,,,,5,10,64,,
0,control_change,0,0,3,,,,,,,,,5,7,111,,
0,program_change,0,0,3,,,,,,,,0,5,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,control_change,0,0,2,,,,,,,,,6,10,64,,
0,control_change,0,0,2,,,,,,,,,6,7,111,,
0,program_change,0,0,2,,,,,,,,0,6,,,,
0,control_change,0,0,6,,,,,,,,,9,7,127,,
0,control_change,0,0,6,,,,,,,,,9,10,64,,
0,end_of_track,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,control_change,0,0,11,,,,,,,,,14,7,127,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,midi_port,0,1,11,,,,,,,0,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,,13,10,64,,
0,control_change,0,0,10,,,,,,,,,13,7,127,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,12,10,64,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,12,7,127,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,11,10,64,,
0,control_change,0,0,8,,,,,,,,,11,7,127,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,10,10,64,,
0,control_change,0,0,7,,,,,,,,,10,7,127,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,416666,,,,,,,,,,,,
0,key_signature,0,1,0,,D,,,,,,,,,,,
0,time_signature,0,1,0,,,4,4,24,8,,,,,,,
0,control_change,0,0,1,,,,,,,,,1,10,64,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,48,1,,,,
0,control_change,0,0,1,,,,,,,,,1,7,127,,
768,note_on,768,0,3,,,,,,,,,5,,,59,108
