tick,type,time,control,value,channel,meta,track,program,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,data,tempo,note,velocity
0,control_change,0,0,0,0,0,0,,,,,,,,,
0,program_change,0,,,0,0,0,40,,,,,,,,
0,control_change,0,0,0,0,0,0,,,,,,,,,
0,program_change,0,,,0,0,0,40,,,,,,,,
0,control_change,0,0,0,1,0,0,,,,,,,,,
0,program_change,0,,,1,0,0,41,,,,,,,,
0,control_change,0,0,0,2,0,0,,,,,,,,,
0,program_change,0,,,2,0,0,43,,,,,,,,
0,time_signature,0,,,,1,0,,4,4,96,8,,,,
0,sequencer_specific,0,,,,1,0,,,,,,"(0, 0, 65)",,,
0,set_tempo,0,,,,1,0,,,,,,,2400000,,
0,note_on,0,,,2,0,0,,,,,,,,50,75
256,note_off,256,,,2,0,0,,,,,,,,50,0
384,note_on,128,,,2,0,0,,,,,,,,50,75
640,note_off,256,,,2,0,0,,,,,,,,50,0
768,note_on,128,,,2,0,0,,,,,,,,50,75
1024,note_off,256,,,2,0,0,,,,,,,,50,0
1152,note_on,128,,,2,0,0,,,,,,,,50,75
1408,note_off,256,,,2,0,0,,,,,,,,50,0
1536,note_on,128,,,0,0,0,,,,,,,,78,75
1536,note_on,0,,,0,0,0,,,,,,,,74,75
1536,note_on,0,,,1,0,0,,,,,,,,69,75
1536,note_on,0,,,2,0,0,,,,,,,,50,75
1724,note_off,188,,,2,0,0,,,,,,,,50,64
1728,note_on,4,,,2,0,0,,,,,,,,50,75
1856,note_off,128,,,2,0,0,,,,,,,,50,64
1920,note_on,64,,,2,0,0,,,,,,,,50,75
2048,note_off,128,,,0,0,0,,,,,,,,78,64
2048,note_off,0,,,0,0,0,,,,,,,,74,64
2048,note_off,0,,,2,0,0,,,,,,,,50,64
2112,note_on,64,,,2,0,0,,,,,,,,50,75
2240,note_off,128,,,2,0,0,,,,,,,,50,64
2304,note_on,64,,,0,0,0,,,,,,,,76,75
2304,note_on,0,,,0,0,0,,,,,,,,73,75
2304,note_on,0,,,2,0,0,,,,,,,,57,75
2432,note_off,128,,,2,0,0,,,,,,,,57,64
2496,note_on,64,,,2,0,0,,,,,,,,45,75
2624,note_off,128,,,2,0,0,,,,,,,,45,64
2688,note_on,64,,,2,0,0,,,,,,,,45,75
2816,note_off,128,,,0,0,0,,,,,,,,76,64
2816,note_off,0,,,0,0,0,,,,,,,,73,64
2816,note_off,0,,,2,0,0,,,,,,,,45,64
2880,note_on,64,,,2,0,0,,,,,,,,45,75
3008,note_off,128,,,2,0,0,,,,,,,,45,64
3068,note_off,60,,,1,0,0,,,,,,,,69,64
