tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,program,channel,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,
0,track_name,,,,,0,1,5,,,,,,
0,program_change,,,,,0,0,5,,,42,3,,
0,program_change,,,,,0,0,3,,,66,6,,
0,track_name,,,,,0,1,3,,,,,,
0,track_name,,,,,0,1,6,,,,,,
0,program_change,,,,,0,0,6,,,6,1,,
0,program_change,,,,,0,0,4,,,68,12,,
0,program_change,,,,,0,0,2,,,71,2,,
0,track_name,,,,,0,1,2,,,,,,
0,program_change,,,,,0,0,1,,,0,0,,
0,track_name,,,,,0,1,1,,,,,,
0,track_name,,,,,0,1,4,,,,,,
0,set_tempo,,,,,0,1,0,,480000,,,,
0,key_signature,,,,,0,1,0,C,,,,,
4096,note_on,,,,,4096,0,3,,,,6,60,101
4096,note_on,,,,,4096,0,6,,,,1,60,114
4096,note_on,,,,,0,0,6,,,,1,69,114
4096,note_on,,,,,0,0,6,,,,1,45,114
4096,note_on,,,,,4096,0,2,,,,2,69,101
4096,note_on,,,,,4096,0,5,,,,3,45,127
4096,note_on,,,,,4096,0,4,,,,12,69,127
4352,note_on,,,,,0,0,6,,,,1,71,114
4352,note_on,,,,,0,0,2,,,,2,71,101
4352,note_off,,,,,256,0,6,,,,1,60,0
4352,note_on,,,,,0,0,4,,,,12,71,127
4352,note_off,,,,,256,0,4,,,,12,69,0
4352,note_off,,,,,0,0,6,,,,1,69,0
4352,note_off,,,,,256,0,2,,,,2,69,0
4608,note_off,,,,,512,0,3,,,,6,60,0
4608,note_on,,,,,0,0,3,,,,6,64,101
4608,note_off,,,,,256,0,2,,,,2,71,0
4608,note_on,,,,,0,0,2,,,,2,72,101
4608,note_off,,,,,256,0,6,,,,1,71,0
4608,note_on,,,,,0,0,6,,,,1,64,114
4608,note_on,,,,,0,0,6,,,,1,72,114
4608,note_off,,,,,0,0,6,,,,1,45,0
4608,note_on,,,,,0,0,6,,,,1,57,114
4608,note_on,,,,,0,0,4,,,,12,72,127
4608,note_off,,,,,256,0,4,,,,12,71,0
4608,note_off,,,,,512,0,5,,,,3,45,0
4608,note_on,,,,,0,0,5,,,,3,57,127
4864,note_off,,,,,256,0,2,,,,2,72,0
4864,note_on,,,,,0,0,2,,,,2,71,101
4864,note_off,,,,,256,0,6,,,,1,64,0
4864,note_on,,,,,0,0,6,,,,1,71,114
4864,note_on,,,,,0,0,4,,,,12,71,127
4864,note_off,,,,,0,0,6,,,,1,72,0
4864,note_off,,,,,256,0,4,,,,12,72,0
5120,note_on,,,,,0,0,6,,,,1,60,114
5120,note_on,,,,,0,0,2,,,,2,69,101
5120,note_off,,,,,256,0,2,,,,2,71,0
5120,note_off,,,,,512,0,5,,,,3,57,0
5120,note_on,,,,,0,0,4,,,,12,69,127
5120,note_off,,,,,256,0,4,,,,12,71,0
5120,note_on,,,,,0,0,5,,,,3,45,127
5120,note_on,,,,,0,0,3,,,,6,60,101
5120,note_off,,,,,512,0,3,,,,6,64,0
5120,note_on,,,,,0,0,6,,,,1,45,114
5120,note_off,,,,,0,0,6,,,,1,57,0
5120,note_on,,,,,0,0,6,,,,1,69,114
5120,note_off,,,,,256,0,6,,,,1,71,0
5632,note_off,,,,,512,0,4,,,,12,69,0
5632,note_off,,,,,512,0,5,,,,3,45,0
5632,note_on,,,,,0,0,6,,,,1,57,114
5632,note_off,,,,,512,0,6,,,,1,45,0
5632,note_on,,,,,0,0,5,,,,3,57,127
6144,note_on,,,,,0,0,6,,,,1,45,114
6144,note_on,,,,,0,0,6,,,,1,72,114
6144,note_off,,,,,0,0,6,,,,1,57,0
6144,note_off,,,,,512,0,6,,,,1,60,0
6144,note_off,,,,,1024,0,2,,,,2,69,0
6144,note_on,,,,,0,0,6,,,,1,69,114
6144,note_off,,,,,512,0,5,,,,3,57,0
6144,note_on,,,,,0,0,5,,,,3,45,127
6144,note_off,,,,,1024,0,3,,,,6,60,0
6144,note_on,,,,,0,0,3,,,,6,69,101
6144,note_on,,,,,512,0,4,,,,12,72,127
6144,note_on,,,,,0,0,2,,,,2,72,101
6144,note_off,,,,,0,0,6,,,,1,69,0
6400,note_off,,,,,256,0,3,,,,6,69,0
6400,note_on,,,,,0,0,3,,,,6,71,101
6400,note_off,,,,,0,0,6,,,,1,72,0
6400,note_off,,,,,256,0,6,,,,1,69,0
6400,note_on,,,,,0,0,6,,,,1,71,114
6400,note_on,,,,,0,0,6,,,,1,74,114
6400,note_on,,,,,0,0,4,,,,12,74,127
6400,note_off,,,,,256,0,4,,,,12,72,0
6400,note_on,,,,,0,0,2,,,,2,74,101
6400,note_off,,,,,256,0,2,,,,2,72,0
6656,note_on,,,,,0,0,5,,,,3,57,127
6656,note_off,,,,,512,0,5,,,,3,45,0
6656,note_on,,,,,0,0,4,,,,12,76,127
6656,note_off,,,,,256,0,4,,,,12,74,0
6656,note_on,,,,,0,0,6,,,,1,57,114
6656,note_off,,,,,0,0,6,,,,1,45,0
6656,note_on,,,,,0,0,6,,,,1,72,114
6656,note_off,,,,,0,0,6,,,,1,74,0
6656,note_on,,,,,0,0,6,,,,1,76,114
6656,note_on,,,,,0,0,2,,,,2,76,101
6656,note_off,,,,,256,0,6,,,,1,71,0
6656,note_off,,,,,256,0,2,,,,2,74,0
6656,note_off,,,,,256,0,3,,,,6,71,0
6656,note_on,,,,,0,0,3,,,,6,72,101
6912,note_off,,,,,0,0,6,,,,1,76,0
6912,note_on,,,,,0,0,6,,,,1,71,114
6912,note_on,,,,,0,0,6,,,,1,74,114
6912,note_on,,,,,0,0,2,,,,2,74,101
6912,note_off,,,,,256,0,2,,,,2,76,0
6912,note_off,,,,,256,0,3,,,,6,72,0
