tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity
0,time_signature,2,4,96,8,0,1,0,,,,,,,,,
0,control_change,,,,,0,0,5,,,7,127,4,,,,
0,control_change,,,,,0,0,5,,,10,64,4,,,,
0,control_change,,,,,0,0,5,,,0,0,4,,,,
0,track_name,,,,,0,1,5,,,,,,,,,
0,note_on,,,,,0,0,4,,,,,3,,,67,92
0,key_signature,,,,,0,1,4,,,,,,,C,,
0,program_change,,,,,0,0,4,,,,,3,40,,,
0,control_change,,,,,0,0,4,,,7,127,3,,,,
0,control_change,,,,,0,0,4,,,10,64,3,,,,
0,control_change,,,,,0,0,4,,,0,0,3,,,,
0,track_name,,,,,0,1,4,,,,,,,,,
0,note_on,,,,,0,0,3,,,,,2,,,67,92
0,key_signature,,,,,0,1,3,,,,,,,C,,
0,program_change,,,,,0,0,3,,,,,2,40,,,
0,control_change,,,,,0,0,3,,,7,127,2,,,,
0,control_change,,,,,0,0,3,,,10,64,2,,,,
0,control_change,,,,,0,0,3,,,0,0,2,,,,
0,track_name,,,,,0,1,3,,,,,,,,,
0,note_on,,,,,0,0,2,,,,,1,,,43,92
0,key_signature,,,,,0,1,2,,,,,,,C,,
0,program_change,,,,,0,0,2,,,,,1,70,,,
0,control_change,,,,,0,0,2,,,7,127,1,,,,
0,control_change,,,,,0,0,2,,,10,64,1,,,,
0,program_change,,,,,0,0,5,,,,,4,41,,,
0,key_signature,,,,,0,1,5,,,,,,,C,,
0,key_signature,,,,,0,1,10,,,,,,,C,,
0,track_name,,,,,0,1,6,,,,,,,,,
0,end_of_track,,,,,0,1,9,,,,,,,,,
0,key_signature,,,,,0,1,9,,,,,,,C,,
0,note_on,,,,,0,0,8,,,,,6,,,43,92
0,key_signature,,,,,0,1,8,,,,,,,C,,
0,program_change,,,,,0,0,8,,,,,6,42,,,
0,control_change,,,,,0,0,8,,,7,127,6,,,,
0,control_change,,,,,0,0,8,,,10,64,6,,,,
0,control_change,,,,,0,0,8,,,0,0,6,,,,
0,track_name,,,,,0,1,8,,,,,,,,,
0,note_on,,,,,0,0,7,,,,,5,,,43,92
0,key_signature,,,,,0,1,7,,,,,,,C,,
0,control_change,,,,,0,0,2,,,0,0,1,,,,
0,program_change,,,,,0,0,7,,,,,5,6,,,
0,control_change,,,,,0,0,7,,,10,64,5,,,,
0,control_change,,,,,0,0,7,,,0,0,5,,,,
0,track_name,,,,,0,1,7,,,,,,,,,
0,note_on,,,,,0,0,6,,,,,5,,,67,92
0,note_on,,,,,0,0,6,,,,,5,,,62,92
0,note_on,,,,,0,0,6,,,,,5,,,59,92
0,key_signature,,,,,0,1,6,,,,,,,C,,
0,program_change,,,,,0,0,6,,,,,5,6,,,
0,control_change,,,,,0,0,6,,,7,127,5,,,,
0,control_change,,,,,0,0,6,,,10,64,5,,,,
0,control_change,,,,,0,0,6,,,0,0,5,,,,
0,control_change,,,,,0,0,7,,,7,127,5,,,,
0,track_name,,,,,0,1,2,,,,,,,,,
0,end_of_track,,,,,0,1,10,,,,,,,,,
0,control_change,,,,,0,0,1,,,0,0,0,,,,
0,sequencer_specific,,,,,0,1,0,"(0, 0, 65)",,,,,,,,
0,set_tempo,,,,,0,1,0,,769230,,,,,,,
0,key_signature,,,,,0,1,1,,,,,,,G,,
0,program_change,,,,,0,0,1,,,,,0,68,,,
0,note_on,,,,,0,0,1,,,,,0,,,67,92
0,end_of_track,,,,,0,1,0,,,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,control_change,,,,,0,0,1,,,10,64,0,,,,
0,control_change,,,,,0,0,1,,,7,127,0,,,,
96,note_on,,,,,96,0,5,,,,,4,,,67,92
188,note_off,,,,,92,0,5,,,,,4,,,67,0
192,note_on,,,,,4,0,5,,,,,4,,,62,92
284,note_off,,,,,92,0,5,,,,,4,,,62,0
288,note_on,,,,,4,0,5,,,,,4,,,59,92
320,note_off,,,,,320,0,1,,,,,0,,,67,0
320,note_off,,,,,0,0,6,,,,,5,,,67,0
