tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,4,7,80,,
0,program_change,0,0,5,,,,,,,40,4,,,,
0,track_name,0,1,5,,,,,,,,,,,,
0,end_of_track,0,1,14,,,,,,,,,,,,
0,note_on,0,0,4,,,,,,,,3,,,45,105
0,control_change,0,0,4,,,,,,,,3,10,83,,
0,control_change,0,0,4,,,,,,,,3,7,77,,
0,program_change,0,0,4,,,,,,,40,3,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,note_on,0,0,3,,,,,,,,2,,,61,105
0,control_change,0,0,3,,,,,,,,2,10,43,,
0,control_change,0,0,3,,,,,,,,2,7,82,,
0,program_change,0,0,3,,,,,,,41,2,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,1,91,69,,
0,control_change,0,0,2,,,,,,,,1,10,111,,
0,control_change,0,0,2,,,,,,,,1,7,79,,
0,note_on,0,0,5,,,,,,,,4,,,33,105
0,track_name,0,1,6,,,,,,,,,,,,
0,program_change,0,0,6,,,,,,,6,5,,,,
0,control_change,0,0,6,,,,,,,,5,7,53,,
0,track_name,0,1,14,,,,,,,,,,,,
0,end_of_track,0,1,13,,,,,,,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,40,1,,,,
0,track_name,0,1,10,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,
0,note_on,0,0,6,,,,,,,,5,,,69,105
0,note_on,0,0,6,,,,,,,,5,,,61,105
0,note_on,0,0,6,,,,,,,,5,,,45,105
0,end_of_track,0,1,9,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,end_of_track,0,1,15,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
0,set_tempo,0,1,0,,,,,,600000,,,,,,
0,marker,0,1,0,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,40,0,,,,
0,control_change,0,0,1,,,,,,,,0,7,80,,
0,control_change,0,0,1,,,,,,,,0,10,17,,
0,note_on,0,0,1,,,,,,,,0,,,69,105
96,note_on,96,0,6,,,,,,,,5,,,61,0
96,note_on,96,0,1,,,,,,,,0,,,69,0
120,note_on,24,0,6,,,,,,,,5,,,57,105
120,note_on,24,0,1,,,,,,,,0,,,81,105
192,note_on,0,0,6,,,,,,,,5,,,45,0
192,note_on,72,0,6,,,,,,,,5,,,69,0
192,note_on,192,0,4,,,,,,,,3,,,45,0
192,note_on,192,0,5,,,,,,,,4,,,33,0
192,note_on,192,0,3,,,,,,,,2,,,61,0
216,note_on,96,0,1,,,,,,,,0,,,81,0
216,note_on,24,0,6,,,,,,,,5,,,57,0
240,note_on,24,0,1,,,,,,,,0,,,81,105
240,note_on,24,0,6,,,,,,,,5,,,57,105
243,control_change,243,0,2,,,,,,,,1,0,0,,
244,program_change,1,0,2,,,,,,,40,1,,,,
244,control_change,0,0,2,,,,,,,,1,32,0,,
245,control_change,1,0,2,,,,,,,,1,7,127,,
300,note_on,60,0,6,,,,,,,,5,,,57,105
300,note_on,108,0,4,,,,,,,,3,,,57,105
300,note_on,108,0,5,,,,,,,,4,,,45,105
336,note_on,36,0,6,,,,,,,,5,,,57,0
348,note_on,12,0,6,,,,,,,,5,,,57,0
348,note_on,48,0,4,,,,,,,,3,,,57,0
348,note_on,48,0,5,,,,,,,,4,,,45,0
360,note_on,12,0,4,,,,,,,,3,,,56,105
360,note_on,12,0,5,,,,,,,,4,,,44,105
360,note_on,168,0,3,,,,,,,,2,,,61,105
360,note_on,12,0,6,,,,,,,,5,,,56,105
408,note_on,48,0,6,,,,,,,,5,,,56,0
408,note_on,48,0,4,,,,,,,,3,,,56,0
408,note_on,48,0,5,,,,,,,,4,,,44,0
420,note_on,12,0,6,,,,,,,,5,,,57,105
420,note_on,12,0,5,,,,,,,,4,,,45,105
420,note_on,12,0,4,,,,,,,,3,,,57,105
456,note_on,96,0,3,,,,,,,,2,,,61,0
468,note_on,48,0,5,,,,,,,,4,,,45,0
468,note_on,48,0,4,,,,,,,,3,,,57,0
468,note_on,48,0,6,,,,,,,,5,,,57,0
480,note_on,12,0,6,,,,,,,,5,,,45,105
480,note_on,12,0,5,,,,,,,,4,,,33,105
480,note_on,24,0,3,,,,,,,,2,,,61,105
480,note_on,12,0,4,,,,,,,,3,,,45,105
576,note_on,336,0,1,,,,,,,,0,,,81,0
600,note_on,120,0,6,,,,,,,,5,,,64,105
600,note_on,24,0,1,,,,,,,,0,,,80,105
648,note_on,48,0,1,,,,,,,,0,,,80,0
660,note_on,12,0,1,,,,,,,,0,,,78,105
672,note_on,72,0,6,,,,,,,,5,,,45,0
672,note_on,192,0,5,,,,,,,,4,,,33,0
672,note_on,192,0,4,,,,,,,,3,,,45,0
672,note_on,192,0,3,,,,,,,,2,,,61,0
696,note_on,24,0,6,,,,,,,,5,,,64,0
708,note_on,48,0,1,,,,,,,,0,,,78,0
720,note_on,12,0,1,,,,,,,,0,,,76,105
720,note_on,24,0,6,,,,,,,,5,,,68,105
816,note_on,96,0,6,,,,,,,,5,,,68,0
816,note_on,96,0,1,,,,,,,,0,,,76,0
840,note_on,168,0,4,,,,,,,,3,,,56,105
840,note_on,0,0,6,,,,,,,,5,,,71,105
840,note_on,0,0,6,,,,,,,,5,,,64,105
840,note_on,24,0,6,,,,,,,,5,,,56,105
840,note_on,24,0,1,,,,,,,,0,,,74,105
840,note_on,168,0,3,,,,,,,,2,,,71,105
840,note_on,168,0,5,,,,,,,,4,,,44,105
936,note_on,96,0,6,,,,,,,,5,,,71,0
936,note_on,96,0,5,,,,,,,,4,,,44,0
936,note_on,0,0,6,,,,,,,,5,,,56,0
936,note_on,0,0,6,,,,,,,,5,,,64,0
936,note_on,96,0,1,,,,,,,,0,,,74,0
936,note_on,96,0,3,,,,,,,,2,,,71,0
936,note_on,96,0,4,,,,,,,,3,,,56,0
960,note_on,0,0,6,,,,,,,,5,,,73,105
960,note_on,715,0,2,,,,,,,,1,,,69,80
960,note_on,0,0,6,,,,,,,,5,,,69,105
960,note_on,24,0,6,,,,,,,,5,,,45,105
960,note_on,24,0,5,,,,,,,,4,,,33,105
960,note_on,24,0,1,,,,,,,,0,,,73,105
960,note_on,24,0,4,,,,,,,,3,,,45,105
960,note_on,24,0,3,,,,,,,,2,,,61,105
1056,note_on,96,0,1,,,,,,,,0,,,73,0
1056,note_on,96,0,6,,,,,,,,5,,,69,0
1056,note_on,96,0,2,,,,,,,,1,,,69,0
1080,note_on,24,0,2,,,,,,,,1,,,81,80
1080,note_on,24,0,6,,,,,,,,5,,,61,105
1080,note_on,24,0,1,,,,,,,,0,,,78,105
1152,note_on,192,0,4,,,,,,,,3,,,45,0
1152,note_on,72,0,6,,,,,,,,5,,,73,0
1152,note_on,0,0,6,,,,,,,,5,,,45,0
1152,note_on,192,0,5,,,,,,,,4,,,33,0
1152,note_on,192,0,3,,,,,,,,2,,,61,0
1176,note_on,96,0,2,,,,,,,,1,,,81,0
1176,note_on,24,0,6,,,,,,,,5,,,61,0
1176,note_on,96,0,1,,,,,,,,0,,,78,0
1200,note_on,24,0,6,,,,,,,,5,,,66,105
1200,note_on,24,0,2,,,,,,,,1,,,81,80
1200,note_on,24,0,1,,,,,,,,0,,,78,105
1260,note_on,108,0,5,,,,,,,,4,,,45,105
1260,note_on,60,0,6,,,,,,,,5,,,57,105
1260,note_on,108,0,4,,,,,,,,3,,,57,105
1308,note_on,48,0,6,,,,,,,,5,,,57,0
1308,note_on,48,0,5,,,,,,,,4,,,45,0
1308,note_on,48,0,4,,,,,,,,3,,,57,0
1320,note_on,12,0,6,,,,,,,,5,,,56,105
1320,note_on,168,0,3,,,,,,,,2,,,73,105
1320,note_on,12,0,5,,,,,,,,4,,,44,105
1320,note_on,12,0,4,,,,,,,,3,,,56,105
1368,note_on,48,0,4,,,,,,,,3,,,56,0
1368,note_on,48,0,5,,,,,,,,4,,,44,0
1368,note_on,48,0,6,,,,,,,,5,,,56,0
1380,note_on,12,0,6,,,,,,,,5,,,57,105
1380,note_on,12,0,4,,,,,,,,3,,,57,105
1380,note_on,12,0,5,,,,,,,,4,,,45,105
1392,note_on,12,0,6,,,,,,,,5,,,66,0
1416,note_on,96,0,3,,,,,,,,2,,,73,0
1428,note_on,48,0,4,,,,,,,,3,,,57,0
1428,note_on,48,0,5,,,,,,,,4,,,45,0
1428,note_on,36,0,6,,,,,,,,5,,,57,0
1440,note_on,12,0,5,,,,,,,,4,,,38,105
1440,note_on,12,0,6,,,,,,,,5,,,50,105
1440,note_on,24,0,3,,,,,,,,2,,,69,105
1440,note_on,12,0,4,,,,,,,,3,,,50,105
1536,note_on,336,0,2,,,,,,,,1,,,81,0
1536,note_on,336,0,1,,,,,,,,0,,,78,0
1560,note_on,120,0,6,,,,,,,,5,,,74,105
1560,note_on,24,0,2,,,,,,,,1,,,80,80
1560,note_on,24,0,1,,,,,,,,0,,,76,105
1608,note_on,48,0,2,,,,,,,,1,,,80,0
1608,note_on,48,0,1,,,,,,,,0,,,76,0
1620,note_on,12,0,1,,,,,,,,0,,,74,105
1620,note_on,12,0,2,,,,,,,,1,,,78,80
1632,note_on,72,0,6,,,,,,,,5,,,50,0
1632,note_on,192,0,5,,,,,,,,4,,,38,0
1632,note_on,192,0,3,,,,,,,,2,,,69,0
1632,note_on,192,0,4,,,,,,,,3,,,50,0
1656,note_on,24,0,6,,,,,,,,5,,,74,0
1668,note_on,48,0,2,,,,,,,,1,,,78,0
1668,note_on,48,0,1,,,,,,,,0,,,74,0
1680,note_on,12,0,1,,,,,,,,0,,,73,105
1680,note_on,24,0,6,,,,,,,,5,,,64,105
1680,note_on,12,0,2,,,,,,,,1,,,76,80
1776,note_on,96,0,2,,,,,,,,1,,,76,0
1776,note_on,96,0,6,,,,,,,,5,,,64,0
1776,note_on,96,0,1,,,,,,,,0,,,73,0
1800,note_on,168,0,5,,,,,,,,4,,,40,105
1800,note_on,168,0,4,,,,,,,,3,,,52,105
1800,note_on,168,0,3,,,,,,,,2,,,68,105
1800,note_on,24,0,6,,,,,,,,5,,,52,105
1800,note_on,0,0,6,,,,,,,,5,,,68,105
1800,note_on,24,0,2,,,,,,,,1,,,74,80
1800,note_on,24,0,1,,,,,,,,0,,,71,105
1800,note_on,0,0,6,,,,,,,,5,,,59,105
1896,note_on,96,0,5,,,,,,,,4,,,40,0
1896,note_on,96,0,2,,,,,,,,1,,,74,0
1896,note_on,96,0,4,,,,,,,,3,,,52,0
1896,note_on,96,0,1,,,,,,,,0,,,71,0
1896,note_on,96,0,3,,,,,,,,2,,,68,0
1896,note_on,0,0,6,,,,,,,,5,,,52,0
1896,note_on,0,0,6,,,,,,,,5,,,68,0
1896,note_on,96,0,6,,,,,,,,5,,,59,0
1920,note_on,24,0,4,,,,,,,,3,,,45,105
1920,note_on,24,0,1,,,,,,,,0,,,69,105
1920,note_on,24,0,3,,,,,,,,2,,,64,105
1920,note_on,0,0,6,,,,,,,,5,,,61,105
1920,note_on,24,0,2,,,,,,,,1,,,73,80
1920,note_on,24,0,5,,,,,,,,4,,,33,105
1920,note_on,24,0,6,,,,,,,,5,,,45,105
1920,note_on,0,0,6,,,,,,,,5,,,69,105
2016,note_on,96,0,2,,,,,,,,1,,,73,0
2016,note_on,96,0,1,,,,,,,,0,,,69,0
2016,note_on,96,0,6,,,,,,,,5,,,69,0
2040,note_on,24,0,6,,,,,,,,5,,,78,105
2040,note_on,24,0,1,,,,,,,,0,,,81,105
2040,note_on,24,0,2,,,,,,,,1,,,78,80
2112,note_on,192,0,5,,,,,,,,4,,,33,0
2112,note_on,72,0,6,,,,,,,,5,,,61,0
2112,note_on,0,0,6,,,,,,,,5,,,45,0
2112,note_on,192,0,4,,,,,,,,3,,,45,0
2112,note_on,192,0,3,,,,,,,,2,,,64,0
2136,note_on,24,0,6,,,,,,,,5,,,78,0
2136,note_on,96,0,1,,,,,,,,0,,,81,0
2136,note_on,96,0,2,,,,,,,,1,,,78,0
2160,note_on,24,0,2,,,,,,,,1,,,78,80
2160,note_on,24,0,1,,,,,,,,0,,,74,105
2160,note_on,24,0,6,,,,,,,,5,,,74,105
2220,note_on,60,0,6,,,,,,,,5,,,62,105
2220,note_on,108,0,5,,,,,,,,4,,,50,105
2220,note_on,108,0,4,,,,,,,,3,,,62,105
2268,note_on,48,0,5,,,,,,,,4,,,50,0
2268,note_on,48,0,6,,,,,,,,5,,,62,0
2268,note_on,48,0,4,,,,,,,,3,,,62,0
2280,note_on,12,0,6,,,,,,,,5,,,64,105
2280,note_on,12,0,4,,,,,,,,3,,,61,105
2280,note_on,12,0,5,,,,,,,,4,,,49,105
2280,note_on,0,0,6,,,,,,,,5,,,69,105
2280,note_on,168,0,3,,,,,,,,2,,,69,105
2328,note_on,48,0,4,,,,,,,,3,,,61,0
2328,note_on,48,0,5,,,,,,,,4,,,49,0
2328,note_on,48,0,6,,,,,,,,5,,,64,0
2340,note_on,12,0,4,,,,,,,,3,,,62,105
2340,note_on,12,0,5,,,,,,,,4,,,50,105
2340,note_on,12,0,6,,,,,,,,5,,,62,105
2352,note_on,12,0,6,,,,,,,,5,,,74,0
2376,note_on,24,0,6,,,,,,,,5,,,69,0
2376,note_on,96,0,3,,,,,,,,2,,,69,0
2388,note_on,12,0,6,,,,,,,,5,,,62,0
2388,note_on,48,0,5,,,,,,,,4,,,50,0
2388,note_on,48,0,4,,,,,,,,3,,,62,0
2400,note_on,24,0,3,,,,,,,,2,,,71,105
2400,note_on,12,0,5,,,,,,,,4,,,44,105
2400,note_on,12,0,4,,,,,,,,3,,,56,105
2400,note_on,12,0,6,,,,,,,,5,,,71,105
2400,note_on,0,0,6,,,,,,,,5,,,56,105
2496,note_on,336,0,1,,,,,,,,0,,,74,0
2496,note_on,336,0,2,,,,,,,,1,,,78,0
2496,note_on,96,0,6,,,,,,,,5,,,71,0
2520,note_on,24,0,6,,,,,,,,5,,,76,105
2520,note_on,24,0,1,,,,,,,,0,,,83,105
2520,note_on,24,0,2,,,,,,,,1,,,76,80
2568,note_on,48,0,2,,,,,,,,1,,,76,0
2580,note_on,12,0,2,,,,,,,,1,,,74,80
2592,note_on,192,0,3,,,,,,,,2,,,71,0
2592,note_on,192,0,4,,,,,,,,3,,,56,0
2592,note_on,72,0,6,,,,,,,,5,,,56,0
2592,note_on,192,0,5,,,,,,,,4,,,44,0
2616,note_on,96,0,1,,,,,,,,0,,,83,0
2628,note_on,48,0,2,,,,,,,,1,,,74,0
2640,note_on,12,0,2,,,,,,,,1,,,73,80
2640,note_on,24,0,1,,,,,,,,0,,,76,105
2712,note_on,120,0,6,,,,,,,,5,,,76,0
2736,note_on,96,0,2,,,,,,,,1,,,73,0
2736,note_on,96,0,1,,,,,,,,0,,,76,0
2760,note_on,168,0,5,,,,,,,,4,,,40,105
2760,note_on,168,0,3,,,,,,,,2,,,68,105
2760,note_on,24,0,2,,,,,,,,1,,,71,80
2760,note_on,48,0,6,,,,,,,,5,,,52,105
2760,note_on,24,0,1,,,,,,,,0,,,74,105
2760,note_on,168,0,4,,,,,,,,3,,,52,105
2760,note_on,0,0,6,,,,,,,,5,,,74,105
2856,note_on,96,0,4,,,,,,,,3,,,52,0
2856,note_on,96,0,5,,,,,,,,4,,,40,0
2856,note_on,96,0,3,,,,,,,,2,,,68,0
2856,note_on,96,0,2,,,,,,,,1,,,71,0
2856,note_on,96,0,6,,,,,,,,5,,,74,0
2856,note_on,96,0,1,,,,,,,,0,,,74,0
2856,note_on,0,0,6,,,,,,,,5,,,52,0
2880,note_on,24,0,4,,,,,,,,3,,,57,105
2880,note_on,0,0,6,,,,,,,,5,,,57,105
2880,note_on,24,0,3,,,,,,,,2,,,64,105
2880,note_on,0,0,6,,,,,,,,5,,,73,105
2880,note_on,24,0,1,,,,,,,,0,,,73,105
2880,note_on,24,0,5,,,,,,,,4,,,45,105
2880,note_on,24,0,2,,,,,,,,1,,,69,80
2880,note_on,24,0,6,,,,,,,,5,,,69,105
2928,note_on,48,0,1,,,,,,,,0,,,73,0
2940,note_on,12,0,1,,,,,,,,0,,,69,105
2976,note_on,96,0,6,,,,,,,,5,,,57,0
2976,note_on,96,0,3,,,,,,,,2,,,64,0
2976,note_on,96,0,5,,,,,,,,4,,,45,0
2976,note_on,96,0,4,,,,,,,,3,,,57,0
2988,note_on,48,0,1,,,,,,,,0,,,69,0
3000,note_on,24,0,3,,,,,,,,2,,,61,105
3000,note_on,24,0,6,,,,,,,,5,,,45,105
3000,note_on,24,0,4,,,,,,,,3,,,45,105
3000,note_on,12,0,1,,,,,,,,0,,,71,105
3000,note_on,24,0,5,,,,,,,,4,,,33,105
3048,note_on,48,0,1,,,,,,,,0,,,71,0
3060,note_on,12,0,1,,,,,,,,0,,,73,105
3072,note_on,72,0,6,,,,,,,,5,,,73,0
3072,note_on,0,0,6,,,,,,,,5,,,69,0
3072,note_on,0,0,6,,,,,,,,5,,,64,64
3072,note_on,192,0,2,,,,,,,,1,,,69,0
3072,note_on,0,0,6,,,,,,,,5,,,64,0
3096,note_on,24,0,6,,,,,,,,5,,,45,0
3096,note_on,96,0,3,,,,,,,,2,,,61,0
3096,note_on,96,0,5,,,,,,,,4,,,33,0
3096,note_on,96,0,4,,,,,,,,3,,,45,0
3108,note_on,48,0,1,,,,,,,,0,,,73,0
3120,note_on,24,0,6,,,,,,,,5,,,64,105
3120,note_on,12,0,1,,,,,,,,0,,,74,105
3168,note_on,48,0,1,,,,,,,,0,,,74,0
3180,note_on,12,0,1,,,,,,,,0,,,76,105
3216,note_on,96,0,6,,,,,,,,5,,,64,0
3228,note_on,48,0,1,,,,,,,,0,,,76,0
3240,note_on,144,0,3,,,,,,,,2,,,68,105
3240,note_on,0,0,6,,,,,,,,5,,,52,105
3240,note_on,0,0,6,,,,,,,,5,,,64,105
3240,note_on,0,0,6,,,,,,,,5,,,68,105
3240,note_on,24,0,6,,,,,,,,5,,,71,105
3240,note_on,144,0,4,,,,,,,,3,,,52,105
3240,note_on,12,0,1,,,,,,,,0,,,78,105
3240,note_on,144,0,5,,,,,,,,4,,,40,105
3288,note_on,48,0,1,,,,,,,,0,,,78,0
3300,note_on,12,0,1,,,,,,,,0,,,80,105
3336,note_on,0,0,6,,,,,,,,5,,,68,0
3336,note_on,0,0,6,,,,,,,,5,,,71,0
3336,note_on,96,0,6,,,,,,,,5,,,52,0
3336,note_on,96,0,4,,,,,,,,3,,,52,0
3336,note_on,96,0,3,,,,,,,,2,,,68,0
3336,note_on,96,0,5,,,,,,,,4,,,40,0
3348,note_on,48,0,1,,,,,,,,0,,,80,0
3360,note_on,0,0,6,,,,,,,,5,,,73,105
3360,note_on,0,0,6,,,,,,,,5,,,69,105
3360,note_on,24,0,4,,,,,,,,3,,,57,105
3360,note_on,12,0,1,,,,,,,,0,,,81,105
3360,note_on,24,0,6,,,,,,,,5,,,57,105
3360,note_on,24,0,5,,,,,,,,4,,,45,105
3360,note_on,24,0,3,,,,,,,,2,,,64,105
3420,note_on,348,0,2,,,,,,,,1,,,69,80
3432,note_on,72,0,6,,,,,,,,5,,,64,0
3456,note_on,24,0,6,,,,,,,,5,,,57,0
3456,note_on,96,0,3,,,,,,,,2,,,64,0
3456,note_on,96,0,4,,,,,,,,3,,,57,0
3456,note_on,96,0,5,,,,,,,,4,,,45,0
3468,note_on,48,0,2,,,,,,,,1,,,69,0
3480,note_on,0,0,6,,,,,,,,5,,,45,105
3480,note_on,24,0,6,,,,,,,,5,,,64,105
3480,note_on,24,0,4,,,,,,,,3,,,45,105
3480,note_on,12,0,2,,,,,,,,1,,,71,80
3480,note_on,24,0,5,,,,,,,,4,,,33,105
3480,note_on,24,0,3,,,,,,,,2,,,61,105
3528,note_on,48,0,2,,,,,,,,1,,,71,0
3540,note_on,12,0,2,,,,,,,,1,,,73,80
3552,note_on,0,0,6,,,,,,,,5,,,69,0
3552,note_on,72,0,6,,,,,,,,5,,,73,0
3552,note_on,192,0,1,,,,,,,,0,,,81,0
3576,note_on,96,0,4,,,,,,,,3,,,45,0
