tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,control,value,program,note,velocity
0,text,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,8,7,127,,,
0,control_change,0,0,8,,,,,,,,8,10,1,,,
0,control_change,0,0,8,,,,,,,,8,91,127,,,
0,program_change,0,0,8,,,,,,,,8,,,50,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,program_change,0,0,2,,,,,,,,13,,,6,,
0,control_change,0,0,2,,,,,,,,13,91,127,,,
0,control_change,0,0,2,,,,,,,,13,10,8,,,
0,control_change,0,0,2,,,,,,,,13,7,127,,,
0,channel_prefix,0,1,2,,,,,,,,13,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,channel_prefix,0,1,9,,,,,,,,10,,,,,
0,control_change,0,0,9,,,,,,,,10,7,127,,,
0,control_change,0,0,9,,,,,,,,10,10,32,,,
0,control_change,0,0,9,,,,,,,,10,91,127,,,
0,program_change,0,0,9,,,,,,,,10,,,50,,
0,program_change,0,0,1,,,,,,,,12,,,6,,
0,control_change,0,0,1,,,,,,,,12,91,127,,,
0,control_change,0,0,1,,,,,,,,12,10,127,,,
0,control_change,0,0,1,,,,,,,,12,7,127,,,
0,channel_prefix,0,1,1,,,,,,,,12,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,channel_prefix,0,1,10,,,,,,,,11,,,,,
0,control_change,0,0,10,,,,,,,,11,7,127,,,
0,control_change,0,0,10,,,,,,,,11,10,63,,,
0,channel_prefix,0,1,8,,,,,,,,8,,,,,
0,control_change,0,0,10,,,,,,,,11,91,127,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,control_change,0,0,7,,,,,,,,5,91,127,,,
0,channel_prefix,0,1,5,,,,,,,,3,,,,,
0,control_change,0,0,5,,,,,,,,3,7,127,,,
0,control_change,0,0,5,,,,,,,,3,10,1,,,
0,control_change,0,0,5,,,,,,,,3,91,127,,,
0,program_change,0,0,5,,,,,,,,3,,,48,,
0,program_change,0,0,4,,,,,,,,2,,,40,,
0,control_change,0,0,4,,,,,,,,2,91,127,,,
0,control_change,0,0,4,,,,,,,,2,10,64,,,
0,control_change,0,0,4,,,,,,,,2,7,127,,,
0,channel_prefix,0,1,4,,,,,,,,2,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,channel_prefix,0,1,6,,,,,,,,4,,,,,
0,control_change,0,0,6,,,,,,,,4,7,127,,,
0,control_change,0,0,6,,,,,,,,4,10,32,,,
0,control_change,0,0,6,,,,,,,,4,91,127,,,
0,program_change,0,0,6,,,,,,,,4,,,48,,
0,program_change,0,0,3,,,,,,,,1,,,48,,
0,control_change,0,0,3,,,,,,,,1,91,127,,,
0,control_change,0,0,3,,,,,,,,1,10,64,,,
0,control_change,0,0,3,,,,,,,,1,7,127,,,
0,channel_prefix,0,1,3,,,,,,,,1,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,channel_prefix,0,1,7,,,,,,,,5,,,,,
0,control_change,0,0,7,,,,,,,,5,7,127,,,
0,control_change,0,0,7,,,,,,,,5,10,63,,,
0,program_change,0,0,7,,,,,,,,5,,,48,,
0,program_change,0,0,10,,,,,,,,11,,,50,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,500000,,,,,,,,,,,,
0,time_signature,0,1,0,,3,4,24,8,,,,,,,,
0,key_signature,0,1,0,,,,,,E,,,,,,,
120,set_tempo,120,1,0,1500000,,,,,,,,,,,,
120,note_on,120,0,9,,,,,,,,10,,,,64,30
120,note_on,120,0,5,,,,,,,,3,,,,68,30
120,note_on,120,0,8,,,,,,,,8,,,,68,30
