tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,control,value,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,6,10,75,,,
0,control_change,0,0,10,,,,,,,,6,7,127,,,
0,channel_prefix,0,1,10,,,,,,,,6,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,channel_prefix,0,1,3,,,,,,,,0,,,,,
0,control_change,0,0,3,,,,,,,,0,7,127,,,
0,control_change,0,0,3,,,,,,,,0,10,64,,,
0,control_change,0,0,3,,,,,,,,0,91,127,,,
0,program_change,0,0,3,,,,,,,,0,,,48,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,program_change,0,0,9,,,,,,,,5,,,50,,
0,control_change,0,0,9,,,,,,,,5,91,127,,,
0,control_change,0,0,9,,,,,,,,5,10,15,,,
0,control_change,0,0,10,,,,,,,,6,91,127,,,
0,control_change,0,0,9,,,,,,,,5,7,127,,,
0,program_change,0,0,10,,,,,,,,6,,,50,,
0,control_change,0,0,2,,,,,,,,10,91,127,,,
0,control_change,0,0,12,,,,,,,,8,10,119,,,
0,control_change,0,0,12,,,,,,,,8,7,127,,,
0,channel_prefix,0,1,12,,,,,,,,8,,,,,
0,midi_port,0,1,12,,,,,,,0,,,,,,
0,program_change,0,0,11,,,,,,,,7,,,50,,
0,control_change,0,0,11,,,,,,,,7,91,127,,,
0,control_change,0,0,11,,,,,,,,7,10,105,,,
0,control_change,0,0,11,,,,,,,,7,7,127,,,
0,channel_prefix,0,1,11,,,,,,,,7,,,,,
0,midi_port,0,1,11,,,,,,,0,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,channel_prefix,0,1,2,,,,,,,,10,,,,,
0,control_change,0,0,2,,,,,,,,10,7,127,,,
0,control_change,0,0,2,,,,,,,,10,10,6,,,
0,program_change,0,0,2,,,,,,,,10,,,6,,
0,channel_prefix,0,1,9,,,,,,,,5,,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,program_change,0,0,8,,,,,,,,4,,,48,,
0,control_change,0,0,13,,,,,,,,11,10,6,,,
0,control_change,0,0,13,,,,,,,,11,91,127,,,
0,program_change,0,0,13,,,,,,,,11,,,32,,
0,program_change,0,0,5,,,,,,,,1,,,48,,
0,control_change,0,0,5,,,,,,,,1,91,127,,,
0,control_change,0,0,5,,,,,,,,1,10,1,,,
0,control_change,0,0,5,,,,,,,,1,7,127,,,
0,channel_prefix,0,1,5,,,,,,,,1,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,12,,,40,,
0,control_change,0,0,4,,,,,,,,12,91,127,,,
0,control_change,0,0,4,,,,,,,,12,10,64,,,
0,control_change,0,0,4,,,,,,,,12,7,127,,,
0,channel_prefix,0,1,4,,,,,,,,12,,,,,
0,control_change,0,0,13,,,,,,,,11,7,127,,,
0,channel_prefix,0,1,13,,,,,,,,11,,,,,
0,midi_port,0,1,13,,,,,,,0,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,control_change,0,0,8,,,,,,,,4,91,127,,,
0,control_change,0,0,8,,,,,,,,4,10,127,,,
0,control_change,0,0,8,,,,,,,,4,7,127,,,
0,channel_prefix,0,1,8,,,,,,,,4,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,program_change,0,0,7,,,,,,,,3,,,48,,
0,control_change,0,0,7,,,,,,,,3,91,127,,,
0,control_change,0,0,12,,,,,,,,8,91,127,,,
0,control_change,0,0,7,,,,,,,,3,10,95,,,
0,channel_prefix,0,1,7,,,,,,,,3,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,program_change,0,0,6,,,,,,,,2,,,48,,
0,control_change,0,0,6,,,,,,,,2,91,127,,,
0,control_change,0,0,6,,,,,,,,2,10,63,,,
0,control_change,0,0,6,,,,,,,,2,7,127,,,
0,channel_prefix,0,1,6,,,,,,,,2,,,,,
0,control_change,0,0,7,,,,,,,,3,7,127,,,
0,program_change,0,0,12,,,,,,,,8,,,50,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,channel_prefix,0,1,1,,,,,,,,10,,,,,
0,control_change,0,0,1,,,,,,,,10,7,127,,,
0,control_change,0,0,1,,,,,,,,10,10,6,,,
0,control_change,0,0,1,,,,,,,,10,91,127,,,
0,program_change,0,0,1,,,,,,,,10,,,6,,
0,time_signature,0,1,0,,3,8,36,8,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,,F,,,,,,,
0,set_tempo,0,1,0,833333,,,,,,,,,,,,
120,note_on,120,0,9,,,,,,,,5,,,,65,75
120,note_on,120,0,11,,,,,,,,7,,,,41,75
120,note_on,120,0,10,,,,,,,,6,,,,57,75
120,note_on,120,0,13,,,,,,,,11,,,,41,75
120,note_on,120,0,8,,,,,,,,4,,,,29,92
120,note_on,120,0,12,,,,,,,,8,,,,29,75
120,note_on,120,0,5,,,,,,,,1,,,,65,108
120,note_on,120,0,6,,,,,,,,2,,,,57,92
120,note_on,120,0,7,,,,,,,,3,,,,41,92
295,note_off,175,0,5,,,,,,,,1,,,,65,64
295,note_off,175,0,9,,,,,,,,5,,,,65,64
300,note_on,5,0,5,,,,,,,,1,,,,72,108
300,note_on,5,0,9,,,,,,,,5,,,,72,75
340,note_off,40,0,9,,,,,,,,5,,,,72,64
340,note_off,40,0,5,,,,,,,,1,,,,72,64
355,note_off,235,0,6,,,,,,,,2,,,,57,64
355,note_off,235,0,10,,,,,,,,6,,,,57,64
355,note_off,235,0,12,,,,,,,,8,,,,29,64
355,note_off,235,0,11,,,,,,,,7,,,,41,64
355,note_off,235,0,8,,,,,,,,4,,,,29,64
355,note_off,235,0,7,,,,,,,,3,,,,41,64
360,note_on,20,0,5,,,,,,,,1,,,,65,108
360,note_on,5,0,11,,,,,,,,7,,,,53,75
360,note_on,5,0,6,,,,,,,,2,,,,60,92
360,note_on,5,0,12,,,,,,,,8,,,,41,75
360,note_on,20,0,9,,,,,,,,5,,,,65,75
360,note_on,5,0,8,,,,,,,,4,,,,41,92
360,note_on,5,0,7,,,,,,,,3,,,,53,92
360,note_on,5,0,10,,,,,,,,6,,,,60,75
440,note_off,80,0,9,,,,,,,,5,,,,65,64
440,note_off,80,0,8,,,,,,,,4,,,,41,64
440,note_off,80,0,6,,,,,,,,2,,,,60,64
440,note_off,80,0,10,,,,,,,,6,,,,60,64
440,note_off,80,0,5,,,,,,,,1,,,,65,64
440,note_off,80,0,11,,,,,,,,7,,,,53,64
440,note_off,80,0,7,,,,,,,,3,,,,53,64
440,note_off,80,0,12,,,,,,,,8,,,,41,64
520,note_off,400,0,13,,,,,,,,11,,,,41,64
600,note_on,160,0,6,,,,,,,,2,,,,57,92
600,note_on,160,0,9,,,,,,,,5,,,,65,75
600,note_on,160,0,12,,,,,,,,8,,,,41,75
600,note_on,160,0,7,,,,,,,,3,,,,53,92
600,note_on,160,0,10,,,,,,,,6,,,,57,75
600,note_on,160,0,8,,,,,,,,4,,,,41,92
600,note_on,160,0,5,,,,,,,,1,,,,65,108
600,note_on,160,0,11,,,,,,,,7,,,,53,75
680,note_off,80,0,8,,,,,,,,4,,,,41,64
680,note_off,80,0,5,,,,,,,,1,,,,65,64
680,note_off,80,0,10,,,,,,,,6,,,,57,64
680,note_off,80,0,6,,,,,,,,2,,,,57,64
680,note_off,80,0,11,,,,,,,,7,,,,53,64
680,note_off,80,0,9,,,,,,,,5,,,,65,64
680,note_off,80,0,12,,,,,,,,8,,,,41,64
680,note_off,80,0,7,,,,,,,,3,,,,53,64
840,note_on,160,0,6,,,,,,,,2,,,,57,92
840,note_on,160,0,8,,,,,,,,4,,,,29,92
840,note_on,160,0,10,,,,,,,,6,,,,57,75
840,note_on,160,0,12,,,,,,,,8,,,,29,75
840,note_on,320,0,13,,,,,,,,11,,,,41,75
840,note_on,160,0,7,,,,,,,,3,,,,41,92
840,note_on,160,0,5,,,,,,,,1,,,,65,108
840,note_on,160,0,11,,,,,,,,7,,,,41,75
840,note_on,160,0,9,,,,,,,,5,,,,65,75
1015,note_off,175,0,5,,,,,,,,1,,,,65,64
1015,note_off,175,0,9,,,,,,,,5,,,,65,64
1020,note_on,5,0,5,,,,,,,,1,,,,72,108
1020,note_on,5,0,9,,,,,,,,5,,,,72,75
1060,note_off,40,0,9,,,,,,,,5,,,,72,64
1060,note_off,40,0,5,,,,,,,,1,,,,72,64
1075,note_off,235,0,6,,,,,,,,2,,,,57,64
1075,note_off,235,0,12,,,,,,,,8,,,,29,64
1075,note_off,235,0,7,,,,,,,,3,,,,41,64
1075,note_off,235,0,8,,,,,,,,4,,,,29,64
1075,note_off,235,0,10,,,,,,,,6,,,,57,64
1075,note_off,235,0,11,,,,,,,,7,,,,41,64
1080,note_on,5,0,7,,,,,,,,3,,,,53,92
1080,note_on,5,0,11,,,,,,,,7,,,,53,75
1080,note_on,5,0,8,,,,,,,,4,,,,41,92
1080,note_on,5,0,12,,,,,,,,8,,,,41,75
1080,note_on,20,0,9,,,,,,,,5,,,,65,75
1080,note_on,20,0,5,,,,,,,,1,,,,65,108
1080,note_on,5,0,10,,,,,,,,6,,,,60,75
1080,note_on,5,0,6,,,,,,,,2,,,,60,92
1160,note_off,80,0,9,,,,,,,,5,,,,65,64
1160,note_off,80,0,7,,,,,,,,3,,,,53,64
1160,note_off,80,0,6,,,,,,,,2,,,,60,64
1160,note_off,80,0,8,,,,,,,,4,,,,41,64
1160,note_off,80,0,10,,,,,,,,6,,,,60,64
1160,note_off,80,0,12,,,,,,,,8,,,,41,64
1160,note_off,80,0,5,,,,,,,,1,,,,65,64
1160,note_off,80,0,11,,,,,,,,7,,,,53,64
1240,note_off,400,0,13,,,,,,,,11,,,,41,64
1320,note_on,160,0,8,,,,,,,,4,,,,41,92
1320,note_on,160,0,7,,,,,,,,3,,,,53,92
1320,note_on,160,0,11,,,,,,,,7,,,,53,75
1320,note_on,160,0,9,,,,,,,,5,,,,65,75
1320,note_on,160,0,5,,,,,,,,1,,,,65,108
1320,note_on,160,0,10,,,,,,,,6,,,,57,75
1320,note_on,160,0,6,,,,,,,,2,,,,57,92
1320,note_on,160,0,12,,,,,,,,8,,,,41,75
1400,note_off,80,0,12,,,,,,,,8,,,,41,64
1400,note_off,80,0,6,,,,,,,,2,,,,57,64
1400,note_off,80,0,8,,,,,,,,4,,,,41,64
1400,note_off,80,0,11,,,,,,,,7,,,,53,64
1400,note_off,80,0,10,,,,,,,,6,,,,57,64
1400,note_off,80,0,7,,,,,,,,3,,,,53,64
1400,note_off,80,0,5,,,,,,,,1,,,,65,64
1400,note_off,80,0,9,,,,,,,,5,,,,65,64
1560,note_on,160,0,7,,,,,,,,3,,,,41,92
1560,note_on,160,0,10,,,,,,,,6,,,,57,75
1560,note_on,160,0,5,,,,,,,,1,,,,65,108
1560,note_on,160,0,12,,,,,,,,8,,,,29,75
1560,note_on,160,0,8,,,,,,,,4,,,,29,92
1560,note_on,160,0,6,,,,,,,,2,,,,57,92
1560,note_on,320,0,13,,,,,,,,11,,,,41,75
1560,note_on,160,0,11,,,,,,,,7,,,,41,75
1560,note_on,160,0,9,,,,,,,,5,,,,65,75
1640,note_off,80,0,10,,,,,,,,6,,,,57,64
1640,note_off,80,0,6,,,,,,,,2,,,,57,64
1735,note_off,175,0,5,,,,,,,,1,,,,65,64
1735,note_off,175,0,7,,,,,,,,3,,,,41,64
1735,note_off,175,0,9,,,,,,,,5,,,,65,64
1735,note_off,175,0,12,,,,,,,,8,,,,29,64
1735,note_off,175,0,11,,,,,,,,7,,,,41,64
1735,note_off,175,0,8,,,,,,,,4,,,,29,64
1740,note_on,5,0,11,,,,,,,,7,,,,53,75
1740,note_on,5,0,5,,,,,,,,1,,,,72,108
1740,note_on,5,0,8,,,,,,,,4,,,,41,92
1740,note_on,5,0,7,,,,,,,,3,,,,53,92
1740,note_on,5,0,9,,,,,,,,5,,,,72,75
1740,note_on,5,0,12,,,,,,,,8,,,,41,75
1780,note_off,40,0,9,,,,,,,,5,,,,72,64
1780,note_off,40,0,12,,,,,,,,8,,,,41,64
1780,note_off,40,0,5,,,,,,,,1,,,,72,64
1780,note_off,40,0,8,,,,,,,,4,,,,41,64
1780,note_off,40,0,7,,,,,,,,3,,,,53,64
1780,note_off,40,0,11,,,,,,,,7,,,,53,64
