tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,data,program,channel,control,value,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,
0,set_tempo,,,,,0,1,0,576923,,,,,,,
0,text,,,,,0,1,0,,,,,,,,
0,copyright,,,,,0,1,0,,,,,,,,
0,track_name,,,,,0,1,0,,,,,,,,
0,sysex,,,,,0,0,0,,"(67, 16, 76, 0, 0, 126, 0)",,,,,,
0,program_change,,,,,0,0,0,,,115,5,,,,
100,text,,,,,100,1,0,,,,,,,,
100,control_change,,,,,0,0,0,,,,0,0,0,,
150,control_change,,,,,50,0,0,,,,0,32,0,,
200,control_change,,,,,50,0,0,,,,0,0,0,,
200,control_change,,,,,0,0,0,,,,3,0,0,,
250,control_change,,,,,50,0,0,,,,0,32,0,,
300,control_change,,,,,50,0,0,,,,3,32,0,,
480,note_on,,,,,180,0,0,,,,5,,,51,72
530,program_change,,,,,50,0,0,,,6,0,,,,
560,program_change,,,,,30,0,0,,,6,0,,,,
576,note_on,,,,,16,0,0,,,,5,,,51,0
580,control_change,,,,,4,0,0,,,,2,0,0,,
680,control_change,,,,,100,0,0,,,,2,32,0,,
760,program_change,,,,,80,0,0,,,73,3,,,,
780,control_change,,,,,20,0,0,,,,0,7,100,,
790,control_change,,,,,10,0,0,,,,0,7,100,,
960,note_on,,,,,170,0,0,,,,5,,,51,72
1056,note_on,,,,,96,0,0,,,,5,,,51,0
1080,control_change,,,,,24,0,0,,,,3,7,100,,
1108,program_change,,,,,28,0,0,,,73,2,,,,
1114,control_change,,,,,6,0,0,,,,2,7,100,,
1440,note_on,,,,,326,0,0,,,,5,,,51,72
1536,note_on,,,,,96,0,0,,,,5,,,51,0
1920,note_on,,,,,384,0,0,,,,0,,,72,88
1920,note_on,,,,,0,0,0,,,,0,,,64,88
1920,note_on,,,,,0,0,0,,,,0,,,48,88
2068,control_change,,,,,148,0,0,,,,3,10,80,,
2140,note_on,,,,,72,0,0,,,,0,,,48,0
2140,note_on,,,,,0,0,0,,,,0,,,64,0
2140,note_on,,,,,0,0,0,,,,0,,,72,0
2160,note_on,,,,,20,0,0,,,,0,,,76,88
2160,note_on,,,,,0,0,0,,,,0,,,67,88
2164,note_on,,,,,4,0,0,,,,0,,,60,88
2270,note_on,,,,,106,0,0,,,,0,,,76,0
2280,note_on,,,,,10,0,0,,,,0,,,74,88
2380,note_on,,,,,100,0,0,,,,0,,,67,0
2384,note_on,,,,,4,0,0,,,,0,,,60,0
2390,note_on,,,,,6,0,0,,,,0,,,74,0
2400,note_on,,,,,10,0,0,,,,0,,,72,88
2400,note_on,,,,,0,0,0,,,,0,,,64,88
2400,note_on,,,,,0,0,0,,,,0,,,48,88
2620,note_on,,,,,220,0,0,,,,0,,,48,0
2620,note_on,,,,,0,0,0,,,,0,,,64,0
2620,note_on,,,,,0,0,0,,,,0,,,72,0
2640,note_on,,,,,20,0,0,,,,0,,,79,88
