tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,control,value,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,
0,note_on,,,,,0,0,2,,,1,,,65,80
0,control_change,,,,,0,0,2,,,1,7,118,,
0,program_change,,,,,0,0,2,,68,1,,,,
0,track_name,,,,,0,1,2,,,,,,,
0,track_name,,,,,0,1,4,,,,,,,
0,track_name,,,,,0,1,3,,,,,,,
0,program_change,,,,,0,0,4,,48,3,,,,
0,control_change,,,,,0,0,1,,,0,7,117,,
0,note_on,,,,,0,0,1,,,0,,,74,80
0,track_name,,,,,0,1,1,,,,,,,
0,control_change,,,,,0,0,4,,,3,7,127,,
0,note_on,,,,,0,0,4,,,3,,,50,80
0,program_change,,,,,0,0,3,,48,2,,,,
0,control_change,,,,,0,0,3,,,2,7,119,,
0,set_tempo,,,,,0,1,0,521739,,,,,,
0,program_change,,,,,0,0,1,,68,0,,,,
96,note_off,,,,,96,0,2,,,1,,,65,64
96,note_off,,,,,96,0,1,,,0,,,74,64
96,note_off,,,,,96,0,4,,,3,,,50,64
120,note_on,,,,,24,0,2,,,1,,,64,80
120,note_on,,,,,24,0,4,,,3,,,52,80
120,note_on,,,,,24,0,1,,,0,,,73,80
168,note_off,,,,,48,0,1,,,0,,,73,64
180,note_on,,,,,12,0,1,,,0,,,74,80
216,note_off,,,,,96,0,4,,,3,,,52,64
216,note_off,,,,,96,0,2,,,1,,,64,64
228,note_off,,,,,48,0,1,,,0,,,74,64
240,note_on,,,,,24,0,2,,,1,,,62,80
240,note_on,,,,,24,0,4,,,3,,,53,80
240,note_on,,,,,12,0,1,,,0,,,69,80
336,note_off,,,,,96,0,4,,,3,,,53,64
336,note_off,,,,,96,0,2,,,1,,,62,64
336,note_off,,,,,96,0,1,,,0,,,69,64
360,note_on,,,,,24,0,1,,,0,,,77,80
360,note_on,,,,,24,0,4,,,3,,,50,80
360,note_on,,,,,24,0,2,,,1,,,74,80
456,note_off,,,,,96,0,2,,,1,,,74,64
456,note_off,,,,,96,0,4,,,3,,,50,64
456,note_off,,,,,96,0,1,,,0,,,77,64
480,note_on,,,,,24,0,2,,,1,,,74,80
480,note_on,,,,,24,0,4,,,3,,,57,80
480,note_on,,,,,24,0,1,,,0,,,77,80
576,note_off,,,,,96,0,4,,,3,,,57,64
600,note_on,,,,,24,0,4,,,3,,,55,80
672,note_off,,,,,192,0,1,,,0,,,77,64
672,note_off,,,,,192,0,2,,,1,,,74,64
696,note_off,,,,,96,0,4,,,3,,,55,64
720,note_on,,,,,24,0,4,,,3,,,57,80
720,note_on,,,,,48,0,2,,,1,,,73,80
720,note_on,,,,,48,0,1,,,0,,,76,80
816,note_off,,,,,96,0,1,,,0,,,76,64
816,note_off,,,,,96,0,2,,,1,,,73,64
816,note_off,,,,,96,0,4,,,3,,,57,64
840,note_on,,,,,24,0,1,,,0,,,73,80
840,note_on,,,,,24,0,2,,,1,,,69,80
840,note_on,,,,,24,0,4,,,3,,,45,80
936,note_off,,,,,96,0,2,,,1,,,69,64
936,note_off,,,,,96,0,1,,,0,,,73,64
936,note_off,,,,,96,0,4,,,3,,,45,64
960,note_on,,,,,24,0,2,,,1,,,65,80
960,note_on,,,,,24,0,1,,,0,,,74,80
960,note_on,,,,,24,0,4,,,3,,,50,80
1056,note_off,,,,,96,0,1,,,0,,,74,64
1056,note_off,,,,,96,0,4,,,3,,,50,64
1056,note_off,,,,,96,0,2,,,1,,,65,64
1080,note_on,,,,,24,0,2,,,1,,,64,80
1080,note_on,,,,,24,0,4,,,3,,,52,80
1080,note_on,,,,,24,0,1,,,0,,,73,80
1128,note_off,,,,,48,0,1,,,0,,,73,64
1140,note_on,,,,,12,0,1,,,0,,,74,80
1176,note_off,,,,,96,0,4,,,3,,,52,64
1176,note_off,,,,,96,0,2,,,1,,,64,64
1188,note_off,,,,,48,0,1,,,0,,,74,64
1200,note_on,,,,,24,0,4,,,3,,,53,80
1200,note_on,,,,,24,0,2,,,1,,,62,80
1200,note_on,,,,,12,0,1,,,0,,,69,80
1296,note_off,,,,,96,0,2,,,1,,,62,64
1296,note_off,,,,,96,0,4,,,3,,,53,64
1296,note_off,,,,,96,0,1,,,0,,,69,64
1320,note_on,,,,,24,0,2,,,1,,,74,80
1320,note_on,,,,,24,0,4,,,3,,,50,80
1320,note_on,,,,,24,0,1,,,0,,,77,80
1416,note_off,,,,,96,0,4,,,3,,,50,64
1416,note_off,,,,,96,0,1,,,0,,,77,64
1416,note_off,,,,,96,0,2,,,1,,,74,64
1440,note_on,,,,,24,0,4,,,3,,,57,80
1440,note_on,,,,,24,0,1,,,0,,,77,80
1440,note_on,,,,,24,0,2,,,1,,,74,80
1536,note_off,,,,,96,0,4,,,3,,,57,64
1560,note_on,,,,,24,0,4,,,3,,,55,80
1632,note_off,,,,,192,0,2,,,1,,,74,64
1632,note_off,,,,,192,0,1,,,0,,,77,64
1656,note_off,,,,,96,0,4,,,3,,,55,64
1680,note_on,,,,,24,0,4,,,3,,,57,80
1680,note_on,,,,,48,0,1,,,0,,,76,80
1680,note_on,,,,,48,0,2,,,1,,,73,80
1776,note_off,,,,,96,0,4,,,3,,,57,64
1776,note_off,,,,,96,0,2,,,1,,,73,64
1776,note_off,,,,,96,0,1,,,0,,,76,64
1800,note_on,,,,,24,0,4,,,3,,,45,80
1800,note_on,,,,,24,0,2,,,1,,,76,80
1800,note_on,,,,,24,0,1,,,0,,,81,80
1896,note_off,,,,,96,0,2,,,1,,,76,64
1896,note_off,,,,,96,0,4,,,3,,,45,64
1896,note_off,,,,,96,0,1,,,0,,,81,64
1920,note_on,,,,,24,0,4,,,3,,,50,80
1920,note_on,,,,,24,0,1,,,0,,,77,80
1920,note_on,,,,,24,0,2,,,1,,,74,80
2016,note_off,,,,,96,0,4,,,3,,,50,64
2016,note_off,,,,,96,0,1,,,0,,,77,64
2040,note_on,,,,,24,0,4,,,3,,,52,80
2040,note_on,,,,,24,0,1,,,0,,,76,80
2136,note_off,,,,,96,0,1,,,0,,,76,64
2136,note_off,,,,,96,0,4,,,3,,,52,64
2160,note_on,,,,,24,0,1,,,0,,,74,80
2160,note_on,,,,,24,0,4,,,3,,,53,80
2208,note_off,,,,,288,0,2,,,1,,,74,64
2256,note_off,,,,,96,0,1,,,0,,,74,64
2256,note_off,,,,,96,0,4,,,3,,,53,64
2280,note_on,,,,,24,0,1,,,0,,,82,80
2280,note_on,,,,,24,0,4,,,3,,,55,80
2280,note_on,,,,,72,0,2,,,1,,,77,80
2376,note_off,,,,,96,0,4,,,3,,,55,64
2376,note_off,,,,,96,0,2,,,1,,,77,64
2376,note_off,,,,,96,0,1,,,0,,,82,64
2400,note_on,,,,,24,0,2,,,1,,,77,80
2400,note_on,,,,,24,0,1,,,0,,,74,80
2400,note_on,,,,,24,0,4,,,3,,,57,80
2496,note_off,,,,,96,0,4,,,3,,,57,64
2520,note_on,,,,,24,0,4,,,3,,,55,80
2592,note_off,,,,,192,0,1,,,0,,,74,64
2592,note_off,,,,,192,0,2,,,1,,,77,64
2616,note_off,,,,,96,0,4,,,3,,,55,64
2640,note_on,,,,,48,0,1,,,0,,,73,80
2640,note_on,,,,,48,0,2,,,1,,,76,80
2640,note_on,,,,,24,0,4,,,3,,,57,80
2736,note_off,,,,,96,0,4,,,3,,,57,64
2760,note_on,,,,,24,0,4,,,3,,,45,80
2832,note_off,,,,,192,0,2,,,1,,,76,64
2832,note_off,,,,,192,0,1,,,0,,,73,64
2856,note_off,,,,,96,0,4,,,3,,,45,64
2880,note_on,,,,,0,0,4,,,3,,,50,80
2880,note_on,,,,,24,0,4,,,3,,,53,80
2880,note_on,,,,,2880,0,3,,,2,,,74,80
2880,note_on,,,,,0,0,3,,,2,,,65,80
2976,note_off,,,,,0,0,4,,,3,,,53,64
2976,note_off,,,,,96,0,3,,,2,,,65,64
2976,note_off,,,,,0,0,3,,,2,,,74,64
2976,note_off,,,,,96,0,4,,,3,,,50,64
3000,note_on,,,,,0,0,3,,,2,,,73,80
3000,note_on,,,,,24,0,3,,,2,,,64,80
3000,note_on,,,,,0,0,4,,,3,,,52,80
3000,note_on,,,,,24,0,4,,,3,,,55,80
3048,note_off,,,,,0,0,3,,,2,,,64,64
3048,note_off,,,,,48,0,3,,,2,,,73,64
3060,note_on,,,,,0,0,3,,,2,,,74,80
3060,note_on,,,,,12,0,3,,,2,,,64,80
3096,note_off,,,,,96,0,4,,,3,,,52,64
3096,note_off,,,,,0,0,4,,,3,,,55,64
3108,note_off,,,,,0,0,3,,,2,,,64,64
3108,note_off,,,,,48,0,3,,,2,,,74,64
3120,note_on,,,,,0,0,3,,,2,,,62,80
3120,note_on,,,,,12,0,3,,,2,,,69,80
3120,note_on,,,,,24,0,4,,,3,,,57,80
3120,note_on,,,,,0,0,4,,,3,,,53,80
3216,note_off,,,,,96,0,3,,,2,,,62,64
3216,note_off,,,,,0,0,4,,,3,,,57,64
3216,note_off,,,,,96,0,4,,,3,,,53,64
3216,note_off,,,,,0,0,3,,,2,,,69,64
3240,note_on,,,,,0,0,3,,,2,,,77,80
3240,note_on,,,,,24,0,3,,,2,,,69,80
3240,note_on,,,,,0,0,3,,,2,,,74,80
3240,note_on,,,,,24,0,4,,,3,,,50,80
3336,note_off,,,,,96,0,4,,,3,,,50,64
3336,note_off,,,,,96,0,3,,,2,,,77,64
3336,note_off,,,,,0,0,3,,,2,,,74,64
3336,note_off,,,,,0,0,3,,,2,,,69,64
3360,note_on,,,,,0,0,3,,,2,,,77,80
3360,note_on,,,,,24,0,4,,,3,,,57,80
3360,note_on,,,,,0,0,3,,,2,,,69,80
3360,note_on,,,,,24,0,3,,,2,,,74,80
3456,note_off,,,,,96,0,4,,,3,,,57,64
3480,note_on,,,,,24,0,4,,,3,,,55,80
3552,note_off,,,,,0,0,3,,,2,,,74,64
3552,note_off,,,,,0,0,3,,,2,,,69,64
3552,note_off,,,,,192,0,3,,,2,,,77,64
3576,note_off,,,,,96,0,4,,,3,,,55,64
3600,note_on,,,,,24,0,4,,,3,,,45,80
3600,note_on,,,,,0,0,4,,,3,,,57,80
3600,note_on,,,,,48,0,3,,,2,,,73,80
3600,note_on,,,,,0,0,3,,,2,,,76,80
3696,note_off,,,,,96,0,3,,,2,,,76,64
3696,note_off,,,,,0,0,3,,,2,,,73,64
3696,note_off,,,,,96,0,4,,,3,,,57,64
3696,note_off,,,,,0,0,4,,,3,,,45,64
3720,note_on,,,,,24,0,3,,,2,,,64,80
3720,note_on,,,,,0,0,3,,,2,,,69,80
3720,note_on,,,,,0,0,3,,,2,,,73,80
3816,note_off,,,,,96,0,3,,,2,,,73,64
3816,note_off,,,,,0,0,3,,,2,,,64,64
3816,note_off,,,,,0,0,3,,,2,,,69,64
3840,note_on,,,,,0,0,4,,,3,,,53,80
3840,note_on,,,,,0,0,3,,,2,,,74,80
3840,note_on,,,,,24,0,3,,,2,,,65,80
3840,note_on,,,,,144,0,4,,,3,,,50,80
3936,note_off,,,,,96,0,4,,,3,,,53,64
3936,note_off,,,,,0,0,3,,,2,,,65,64
3936,note_off,,,,,0,0,4,,,3,,,50,64
3936,note_off,,,,,96,0,3,,,2,,,74,64
3960,note_on,,,,,0,0,3,,,2,,,64,80
3960,note_on,,,,,24,0,3,,,2,,,73,80
3960,note_on,,,,,24,0,4,,,3,,,52,80
3960,note_on,,,,,0,0,4,,,3,,,55,80
4008,note_off,,,,,48,0,3,,,2,,,64,64
4008,note_off,,,,,0,0,3,,,2,,,73,64
4020,note_on,,,,,12,0,3,,,2,,,74,80
4020,note_on,,,,,0,0,3,,,2,,,64,80
4056,note_off,,,,,0,0,4,,,3,,,52,64
4056,note_off,,,,,96,0,4,,,3,,,55,64
4068,note_off,,,,,48,0,3,,,2,,,64,64
4068,note_off,,,,,0,0,3,,,2,,,74,64
4080,note_on,,,,,0,0,4,,,3,,,57,80
4080,note_on,,,,,24,0,4,,,3,,,53,80
4080,note_on,,,,,0,0,3,,,2,,,69,80
4080,note_on,,,,,12,0,3,,,2,,,62,80
4176,note_off,,,,,0,0,4,,,3,,,53,64
4176,note_off,,,,,96,0,4,,,3,,,57,64
4176,note_off,,,,,96,0,3,,,2,,,69,64
4176,note_off,,,,,0,0,3,,,2,,,62,64
4200,note_on,,,,,24,0,3,,,2,,,69,80
4200,note_on,,,,,0,0,3,,,2,,,77,80
4200,note_on,,,,,0,0,3,,,2,,,74,80
4200,note_on,,,,,24,0,4,,,3,,,50,80
4296,note_off,,,,,96,0,3,,,2,,,74,64
4296,note_off,,,,,0,0,3,,,2,,,77,64
4296,note_off,,,,,0,0,3,,,2,,,69,64
4296,note_off,,,,,96,0,4,,,3,,,50,64
4320,note_on,,,,,0,0,3,,,2,,,69,80
4320,note_on,,,,,0,0,3,,,2,,,74,80
4320,note_on,,,,,24,0,3,,,2,,,77,80
4320,note_on,,,,,24,0,4,,,3,,,57,80
4416,note_off,,,,,96,0,4,,,3,,,57,64
4440,note_on,,,,,24,0,4,,,3,,,55,80
4512,note_off,,,,,0,0,3,,,2,,,77,64
4512,note_off,,,,,0,0,3,,,2,,,74,64
4512,note_off,,,,,192,0,3,,,2,,,69,64
4536,note_off,,,,,96,0,4,,,3,,,55,64
4560,note_on,,,,,0,0,3,,,2,,,76,80
4560,note_on,,,,,48,0,3,,,2,,,73,80
4560,note_on,,,,,24,0,4,,,3,,,57,80
4656,note_off,,,,,96,0,3,,,2,,,76,64
4656,note_off,,,,,0,0,3,,,2,,,73,64
4656,note_off,,,,,96,0,4,,,3,,,57,64
4680,note_on,,,,,24,0,4,,,3,,,45,80
4680,note_on,,,,,0,0,3,,,2,,,64,80
4680,note_on,,,,,0,0,3,,,2,,,73,80
4680,note_on,,,,,24,0,3,,,2,,,69,80
4776,note_off,,,,,0,0,3,,,2,,,73,64
4776,note_off,,,,,96,0,3,,,2,,,64,64
