tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,1,10,34,,
0,track_name,0,1,3,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,48,2,,,,
0,control_change,0,0,3,,,,,,,,2,7,127,,
0,control_change,0,0,3,,,,,,,,2,10,42,,
0,end_of_track,0,1,11,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,48,3,,,,
0,control_change,0,0,4,,,,,,,,3,7,127,,
0,control_change,0,0,4,,,,,,,,3,10,85,,
0,track_name,0,1,5,,,,,,,,,,,,
0,program_change,0,0,5,,,,,,,48,4,,,,
0,program_change,0,0,2,,,,,,,48,1,,,,
0,control_change,0,0,5,,,,,,,,4,7,127,,
0,track_name,0,1,6,,,,,,,,,,,,
0,program_change,0,0,6,,,,,,,48,5,,,,
0,control_change,0,0,6,,,,,,,,5,7,127,,
0,control_change,0,0,6,,,,,,,,5,10,78,,
0,track_name,0,1,7,,,,,,,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,4,10,96,,
0,track_name,0,1,2,,,,,,,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,40,0,,,,
0,control_change,0,0,1,,,,,,,,0,7,107,,
0,control_change,0,0,1,,,,,,,,0,10,72,,
0,key_signature,0,1,0,,,,,F,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,500000,,,,,,
1,note_on,0,0,5,,,,,,,,4,,,50,85
1,control_change,1,0,5,,,,,,,,4,91,100,,
1,control_change,1,0,4,,,,,,,,3,91,100,,
1,control_change,1,0,1,,,,,,,,0,91,127,,
1,control_change,1,0,6,,,,,,,,5,91,100,,
1,control_change,1,0,3,,,,,,,,2,91,100,,
1,note_on,0,0,6,,,,,,,,5,,,38,85
1,control_change,1,0,2,,,,,,,,1,91,100,,
240,note_on,239,0,1,,,,,,,,0,,,74,64
240,note_on,239,0,3,,,,,,,,2,,,74,64
240,note_on,239,0,2,,,,,,,,1,,,74,64
446,note_on,445,0,6,,,,,,,,5,,,38,0
446,note_on,445,0,5,,,,,,,,4,,,50,0
465,note_on,225,0,2,,,,,,,,1,,,74,0
465,note_on,225,0,1,,,,,,,,0,,,74,0
465,note_on,225,0,3,,,,,,,,2,,,74,0
480,note_on,15,0,2,,,,,,,,1,,,81,64
480,note_on,15,0,1,,,,,,,,0,,,81,64
480,note_on,15,0,3,,,,,,,,2,,,81,64
720,note_on,719,0,4,,,,,,,,3,,,65,85
720,note_on,274,0,6,,,,,,,,5,,,38,85
