tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,
0,note_on,0,0,4,,,,,,,,3,,,62,85
0,control_change,0,0,4,,,,,,,,3,91,113,,
0,control_change,0,0,4,,,,,,,,3,10,42,,
0,control_change,0,0,4,,,,,,,,3,7,127,,
0,program_change,0,0,4,,,,,,,48,3,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,2,91,115,,
0,control_change,0,0,3,,,,,,,,2,10,127,,
0,control_change,0,0,3,,,,,,,,2,7,127,,
0,program_change,0,0,3,,,,,,,48,2,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,1,,,70,85
0,control_change,0,0,2,,,,,,,,1,91,118,,
0,control_change,0,0,2,,,,,,,,1,10,0,,
0,control_change,0,0,2,,,,,,,,1,7,127,,
0,program_change,0,0,5,,,,,,,48,4,,,,
0,program_change,0,0,2,,,,,,,48,1,,,,
0,control_change,0,0,5,,,,,,,,4,7,127,,
0,control_change,0,0,5,,,,,,,,4,91,116,,
0,track_name,0,1,12,,,,,,,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,
0,note_on,0,0,6,,,,,,,,5,,,46,85
0,control_change,0,0,6,,,,,,,,5,10,64,,
0,control_change,0,0,6,,,,,,,,5,7,127,,
0,program_change,0,0,6,,,,,,,48,5,,,,
0,track_name,0,1,6,,,,,,,,,,,,
0,note_on,0,0,5,,,,,,,,4,,,46,85
0,control_change,0,0,5,,,,,,,,4,10,84,,
0,track_name,0,1,2,,,,,,,,,,,,
0,end_of_track,0,1,13,,,,,,,,,,,,
