tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,1,7,100,,
0,control_change,0,0,2,,,,,,,,,1,10,16,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,program_change,0,0,3,,,,,,,,48,2,,,,
0,control_change,0,0,3,,,,,,,,,2,7,100,,
0,control_change,0,0,3,,,,,,,,,2,10,35,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,program_change,0,0,4,,,,,,,,48,3,,,,
0,control_change,0,0,4,,,,,,,,,3,7,101,,
0,control_change,0,0,4,,,,,,,,,3,10,86,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,program_change,0,0,5,,,,,,,,49,4,,,,
0,control_change,0,0,5,,,,,,,,,4,7,108,,
0,control_change,0,0,5,,,,,,,,,4,10,112,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,11,,,,,,,0,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,0,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,48,1,,,,
0,midi_port,0,1,9,,,,,,,0,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,0,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,end_of_track,0,1,6,,,,,,,,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,,
0,set_tempo,0,1,0,,,,,,468750,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,10,54,,
0,control_change,0,0,1,,,,,,,,,0,7,111,,
0,program_change,0,0,1,,,,,,,,40,0,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,,
960,note_on,960,0,1,,,,,,,,,0,,,63,92
960,note_on,960,0,2,,,,,,,,,1,,,63,92
1008,note_on,48,0,1,,,,,,,,,0,,,63,0
1008,note_on,48,0,2,,,,,,,,,1,,,63,0
1020,note_on,12,0,2,,,,,,,,,1,,,63,92
1020,note_on,12,0,1,,,,,,,,,0,,,63,92
1068,note_on,48,0,2,,,,,,,,,1,,,63,0
1068,note_on,48,0,1,,,,,,,,,0,,,63,0
1080,note_on,12,0,1,,,,,,,,,0,,,63,92
1080,note_on,12,0,2,,,,,,,,,1,,,63,92
1128,note_on,48,0,2,,,,,,,,,1,,,63,0
1128,note_on,48,0,1,,,,,,,,,0,,,63,0
1140,note_on,12,0,1,,,,,,,,,0,,,63,92
1140,note_on,12,0,2,,,,,,,,,1,,,63,92
1188,note_on,48,0,1,,,,,,,,,0,,,63,0
1188,note_on,48,0,2,,,,,,,,,1,,,63,0
1200,note_on,12,0,1,,,,,,,,,0,,,63,92
1200,note_on,12,0,2,,,,,,,,,1,,,63,92
1248,note_on,48,0,1,,,,,,,,,0,,,63,0
1248,note_on,48,0,2,,,,,,,,,1,,,63,0
1260,note_on,12,0,2,,,,,,,,,1,,,63,92
1260,note_on,12,0,1,,,,,,,,,0,,,63,92
1308,note_on,48,0,2,,,,,,,,,1,,,63,0
1308,note_on,48,0,1,,,,,,,,,0,,,63,0
1320,note_on,12,0,2,,,,,,,,,1,,,63,92
1320,note_on,12,0,1,,,,,,,,,0,,,63,92
1368,note_on,48,0,2,,,,,,,,,1,,,63,0
1368,note_on,48,0,1,,,,,,,,,0,,,63,0
1380,note_on,12,0,2,,,,,,,,,1,,,63,92
1380,note_on,12,0,1,,,,,,,,,0,,,63,92
1428,note_on,48,0,2,,,,,,,,,1,,,63,0
1428,note_on,48,0,1,,,,,,,,,0,,,63,0
1440,note_on,12,0,2,,,,,,,,,1,,,70,92
1440,note_on,12,0,1,,,,,,,,,0,,,70,92
1488,note_on,48,0,2,,,,,,,,,1,,,70,0
1488,note_on,48,0,1,,,,,,,,,0,,,70,0
1500,note_on,12,0,2,,,,,,,,,1,,,70,92
1500,note_on,12,0,1,,,,,,,,,0,,,70,92
1548,note_on,48,0,1,,,,,,,,,0,,,70,0
1548,note_on,48,0,2,,,,,,,,,1,,,70,0
1560,note_on,12,0,2,,,,,,,,,1,,,70,92
1560,note_on,12,0,1,,,,,,,,,0,,,70,92
1608,note_on,48,0,2,,,,,,,,,1,,,70,0
1608,note_on,48,0,1,,,,,,,,,0,,,70,0
1620,note_on,12,0,2,,,,,,,,,1,,,70,92
1620,note_on,12,0,1,,,,,,,,,0,,,70,92
1668,note_on,48,0,1,,,,,,,,,0,,,70,0
1668,note_on,48,0,2,,,,,,,,,1,,,70,0
1680,note_on,12,0,1,,,,,,,,,0,,,70,92
1680,note_on,12,0,2,,,,,,,,,1,,,70,92
