tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,
0,note_on,0,0,5,,,,,,,,4,,,48,85
0,control_change,0,0,5,,,,,,,,4,91,127,,
0,control_change,0,0,5,,,,,,,,4,10,86,,
0,control_change,0,0,5,,,,,,,,4,7,127,,
0,program_change,0,0,5,,,,,,,48,4,,,,
0,track_name,0,1,5,,,,,,,,,,,,
0,end_of_track,0,1,16,,,,,,,,,,,,
0,note_on,0,0,4,,,,,,,,3,,,67,85
0,control_change,0,0,4,,,,,,,,3,91,127,,
0,control_change,0,0,4,,,,,,,,3,10,39,,
0,program_change,0,0,6,,,,,,,48,5,,,,
0,control_change,0,0,4,,,,,,,,3,7,127,,
0,track_name,0,1,4,,,,,,,,,,,,
0,note_on,0,0,3,,,,,,,,2,,,76,85
0,control_change,0,0,3,,,,,,,,2,91,127,,
0,control_change,0,0,3,,,,,,,,2,10,127,,
0,control_change,0,0,3,,,,,,,,2,7,127,,
0,program_change,0,0,3,,,,,,,48,2,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,1,,,72,85
0,control_change,0,0,2,,,,,,,,1,91,127,,
0,control_change,0,0,2,,,,,,,,1,10,0,,
0,control_change,0,0,2,,,,,,,,1,7,127,,
0,program_change,0,0,4,,,,,,,48,3,,,,
0,program_change,0,0,2,,,,,,,48,1,,,,
0,control_change,0,0,6,,,,,,,,5,7,127,,
0,control_change,0,0,6,,,,,,,,5,91,127,,
0,track_name,0,1,16,,,,,,,,,,,,
0,end_of_track,0,1,15,,,,,,,,,,,,
0,track_name,0,1,15,,,,,,,,,,,,
0,end_of_track,0,1,14,,,,,,,,,,,,
0,track_name,0,1,14,,,,,,,,,,,,
0,end_of_track,0,1,13,,,,,,,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,5,10,127,,
0,end_of_track,0,1,10,,,,,,,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,
0,end_of_track,0,1,8,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,14,91,84,,
0,control_change,0,0,8,,,,,,,,14,10,64,,
0,control_change,0,0,7,,,,,,,,6,91,127,,
0,control_change,0,0,7,,,,,,,,6,10,64,,
0,control_change,0,0,7,,,,,,,,6,7,120,,
0,program_change,0,0,7,,,,,,,6,6,,,,
0,track_name,0,1,7,,,,,,,,,,,,
0,note_on,0,0,6,,,,,,,,5,,,36,85
0,track_name,0,1,10,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,
0,end_of_track,0,1,17,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,7,127,,
0,control_change,0,0,1,,,,,,,,0,10,72,,
0,control_change,0,0,1,,,,,,,,0,91,127,,
0,marker,0,1,0,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,521739,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,note_on,0,0,1,,,,,,,,0,,,72,85
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
