tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,48,2,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,1,,,,,,
0,midi_port,0,1,4,,,,,,,1,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,49,3,,,,
0,control_change,0,0,4,,,,,,,,,3,7,127,,
0,control_change,0,0,4,,,,,,,,,3,10,64,,
0,midi_port,0,1,8,,,,,,,1,,,,,,
0,midi_port,0,1,6,,,,,,,1,,,,,,
0,program_change,0,0,8,,,,,,,,19,7,,,,
0,control_change,0,0,8,,,,,,,,,7,7,127,,
0,control_change,0,0,8,,,,,,,,,7,10,64,,
0,control_change,0,0,7,,,,,,,,,6,10,64,,
0,control_change,0,0,7,,,,,,,,,6,7,127,,
0,program_change,0,0,7,,,,,,,,19,6,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,1,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,48,1,,,,
0,control_change,0,0,2,,,,,,,,,1,7,127,,
0,control_change,0,0,2,,,,,,,,,1,10,64,,
0,program_change,0,0,6,,,,,,,,49,5,,,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,control_change,0,0,6,,,,,,,,,5,7,127,,
0,control_change,0,0,5,,,,,,,,,4,10,64,,
0,control_change,0,0,5,,,,,,,,,4,7,127,,
0,program_change,0,0,5,,,,,,,,49,4,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,1,,,,,,
0,midi_port,0,1,7,,,,,,,1,,,,,,
0,control_change,0,0,6,,,,,,,,,5,10,64,,
0,control_change,0,0,3,,,,,,,,,2,10,64,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,,
0,set_tempo,0,1,0,,,,,,500000,,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,1,,,,,,
0,control_change,0,0,1,,,,,,,,,0,7,127,,
0,control_change,0,0,1,,,,,,,,,0,10,64,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,40,0,,,,
28,note_on,28,0,2,,,,,,,,,1,,,57,67
28,control_change,0,0,1,,,,,,,,,0,10,64,,
28,note_on,28,0,1,,,,,,,,,0,,,57,127
28,note_on,28,0,3,,,,,,,,,2,,,57,64
31,note_on,31,0,4,,,,,,,,,3,,,57,65
32,note_on,32,0,6,,,,,,,,,5,,,45,90
32,note_on,32,0,5,,,,,,,,,4,,,45,90
33,note_on,33,0,7,,,,,,,,,6,,,57,127
33,note_on,33,0,8,,,,,,,,,7,,,45,127
305,note_on,277,0,1,,,,,,,,,0,,,57,0
305,note_on,277,0,2,,,,,,,,,1,,,57,0
312,note_on,284,0,3,,,,,,,,,2,,,57,0
312,note_on,281,0,4,,,,,,,,,3,,,57,0
314,note_on,282,0,5,,,,,,,,,4,,,45,0
314,note_on,281,0,8,,,,,,,,,7,,,45,0
314,note_on,281,0,7,,,,,,,,,6,,,57,0
314,note_on,282,0,6,,,,,,,,,5,,,45,0
358,note_on,46,0,3,,,,,,,,,2,,,64,64
358,note_on,53,0,2,,,,,,,,,1,,,64,65
358,note_on,46,0,4,,,,,,,,,3,,,64,65
358,note_on,53,0,1,,,,,,,,,0,,,64,127
360,note_on,46,0,6,,,,,,,,,5,,,52,90
