tick,type,time,meta,track,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,4,,4,4,24,8,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,program_change,0,0,5,,,,,,,,48,6,,,,
0,control_change,0,0,5,,,,,,,,,6,7,110,,
0,control_change,0,0,5,,,,,,,,,6,10,64,,
0,key_signature,0,1,4,A,,,,,,,,,,,,
0,key_signature,0,1,5,A,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,program_change,0,0,6,,,,,,,,48,8,,,,
0,control_change,0,0,6,,,,,,,,,8,7,110,,
0,control_change,0,0,6,,,,,,,,,8,10,64,,
0,time_signature,0,1,5,,4,4,24,8,,,,,,,,
0,key_signature,0,1,6,A,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,4,10,64,,
0,program_change,0,0,4,,,,,,,,48,4,,,,
0,program_change,0,0,3,,,,,,,,48,3,,,,
0,control_change,0,0,3,,,,,,,,,3,7,127,,
0,control_change,0,0,3,,,,,,,,,3,10,64,,
0,key_signature,0,1,3,A,,,,,,,,,,,,
0,time_signature,0,1,3,,4,4,24,8,,,,,,,,
0,time_signature,0,1,2,,4,4,24,8,,,,,,,,
0,control_change,0,0,4,,,,,,,,,4,7,110,,
0,key_signature,0,1,2,A,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,0,7,127,,
0,program_change,0,0,2,,,,,,,,48,0,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,0,10,64,,
0,time_signature,0,1,6,,4,4,24,8,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,control_change,0,0,1,,,,,,,,,11,7,127,,
0,key_signature,0,1,1,A,,,,,,,,,,,,
0,time_signature,0,1,1,,4,4,24,8,,,,,,,,
0,control_change,0,0,1,,,,,,,,,11,10,64,,
0,program_change,0,0,1,,,,,,,,40,11,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,key_signature,0,1,0,A,,,,,,,,,,,,
