tick,type,time,meta,track,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,4,7,115,,
0,program_change,0,0,4,,,,,,,,48,4,,,,
0,program_change,0,0,4,,,,,,,,48,4,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,time_signature,0,1,3,,,12,8,24,8,,,,,,,
0,key_signature,0,1,3,,A,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,2,10,0,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,control_change,0,0,4,,,,,,,,,4,10,64,,
0,program_change,0,0,3,,,,,,,,48,2,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,time_signature,0,1,7,,,12,8,24,8,,,,,,,
0,time_signature,0,1,2,,,12,8,24,8,,,,,,,
0,key_signature,0,1,2,,A,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,0,10,127,,
0,control_change,0,0,2,,,,,,,,,0,7,127,,
0,program_change,0,0,2,,,,,,,,48,0,,,,
0,program_change,0,0,2,,,,,,,,48,0,,,,
0,program_change,0,0,3,,,,,,,,48,2,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,key_signature,0,1,4,,A,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,key_signature,0,1,7,,A,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,0,10,64,,
0,control_change,0,0,7,,,,,,,,,0,7,127,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,time_signature,0,1,6,,,12,8,24,8,,,,,,,
0,key_signature,0,1,6,,A,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,8,10,64,,
0,control_change,0,0,6,,,,,,,,,8,7,115,,
0,time_signature,0,1,4,,,12,8,24,8,,,,,,,
0,program_change,0,0,6,,,,,,,,48,8,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,time_signature,0,1,5,,,12,8,24,8,,,,,,,
0,key_signature,0,1,5,,A,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,6,10,64,,
0,control_change,0,0,5,,,,,,,,,6,7,115,,
0,program_change,0,0,5,,,,,,,,48,6,,,,
0,program_change,0,0,5,,,,,,,,48,6,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,program_change,0,0,6,,,,,,,,48,8,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,end_of_track,0,1,7,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,program_change,0,0,1,,,,,,,,40,11,,,,
0,control_change,0,0,1,,,,,,,,,11,7,127,,
0,control_change,0,0,1,,,,,,,,,11,10,64,,
0,key_signature,0,1,1,,A,,,,,,,,,,,
0,time_signature,0,1,1,,,12,8,24,8,,,,,,,
0,set_tempo,0,1,0,320855,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,40,11,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,,,12,8,24,8,,,,,,,
0,key_signature,0,1,0,,A,,,,,,,,,,,
1152,note_on,1152,0,4,,,,,,,,,4,,,64,75
1152,note_on,0,0,3,,,,,,,,,2,,,69,110
1152,control_change,1152,0,2,,,,,,,,,0,10,127,,
1152,control_change,1152,0,3,,,,,,,,,2,10,0,,
1152,note_on,1152,0,1,,,,,,,,,11,,,69,110
1152,note_on,1152,0,5,,,,,,,,,6,,,45,92
1152,note_on,1152,0,6,,,,,,,,,8,,,33,92
1152,note_on,0,0,2,,,,,,,,,0,,,69,110
1246,note_on,94,0,1,,,,,,,,,11,,,69,0
1246,note_on,94,0,3,,,,,,,,,2,,,69,0
1246,note_on,94,0,2,,,,,,,,,0,,,69,0
1248,note_on,2,0,1,,,,,,,,,11,,,73,110
1248,note_on,2,0,2,,,,,,,,,0,,,73,110
1248,note_on,2,0,3,,,,,,,,,2,,,73,110
1342,note_on,94,0,2,,,,,,,,,0,,,73,0
1342,note_on,94,0,1,,,,,,,,,11,,,73,0
1342,note_on,94,0,3,,,,,,,,,2,,,73,0
1344,note_on,2,0,2,,,,,,,,,0,,,76,110
1344,note_on,2,0,3,,,,,,,,,2,,,76,110
1344,note_on,2,0,1,,,,,,,,,11,,,76,110
1408,note_on,256,0,4,,,,,,,,,4,,,64,0
1408,note_on,256,0,6,,,,,,,,,8,,,33,0
1408,note_on,256,0,5,,,,,,,,,6,,,45,0
1438,note_on,94,0,3,,,,,,,,,2,,,76,0
1438,note_on,94,0,1,,,,,,,,,11,,,76,0
1438,note_on,94,0,2,,,,,,,,,0,,,76,0
1440,note_on,32,0,4,,,,,,,,,4,,,64,75
1440,note_on,2,0,3,,,,,,,,,2,,,81,110
1440,note_on,2,0,1,,,,,,,,,11,,,81,110
1440,note_on,2,0,2,,,,,,,,,0,,,81,110
1440,note_on,32,0,6,,,,,,,,,8,,,33,92
1440,note_on,32,0,5,,,,,,,,,6,,,45,92
1534,note_on,94,0,2,,,,,,,,,0,,,81,0
1534,note_on,94,0,1,,,,,,,,,11,,,81,0
1534,note_on,94,0,3,,,,,,,,,2,,,81,0
1536,note_on,2,0,2,,,,,,,,,0,,,76,110
1536,note_on,2,0,1,,,,,,,,,11,,,76,110
1536,note_on,2,0,3,,,,,,,,,2,,,76,110
1630,note_on,94,0,3,,,,,,,,,2,,,76,0
1630,note_on,94,0,2,,,,,,,,,0,,,76,0
1630,note_on,94,0,1,,,,,,,,,11,,,76,0
1632,note_on,2,0,2,,,,,,,,,0,,,73,110
1632,note_on,2,0,1,,,,,,,,,11,,,73,110
1632,note_on,2,0,3,,,,,,,,,2,,,73,110
1696,note_on,256,0,6,,,,,,,,,8,,,33,0
1696,note_on,256,0,5,,,,,,,,,6,,,45,0
1696,note_on,256,0,4,,,,,,,,,4,,,64,0
1726,note_on,94,0,3,,,,,,,,,2,,,73,0
1726,note_on,94,0,2,,,,,,,,,0,,,73,0
1726,note_on,94,0,1,,,,,,,,,11,,,73,0
1728,note_on,32,0,6,,,,,,,,,8,,,40,92
1728,note_on,2,0,1,,,,,,,,,11,,,71,110
1728,note_on,32,0,4,,,,,,,,,4,,,68,75
1728,note_on,32,0,5,,,,,,,,,6,,,52,92
1728,note_on,2,0,2,,,,,,,,,0,,,71,110
1728,note_on,2,0,3,,,,,,,,,2,,,71,110
1984,note_on,256,0,4,,,,,,,,,4,,,68,0
1984,note_on,256,0,2,,,,,,,,,0,,,71,0
1984,note_on,256,0,1,,,,,,,,,11,,,71,0
1984,note_on,256,0,6,,,,,,,,,8,,,40,0
1984,note_on,256,0,3,,,,,,,,,2,,,71,0
1984,note_on,256,0,5,,,,,,,,,6,,,52,0
2016,note_on,32,0,3,,,,,,,,,2,,,69,110
2016,note_on,32,0,4,,,,,,,,,4,,,64,75
2016,note_on,32,0,1,,,,,,,,,11,,,69,110
2016,note_on,32,0,5,,,,,,,,,6,,,45,92
2016,note_on,32,0,2,,,,,,,,,0,,,69,110
2016,note_on,32,0,6,,,,,,,,,8,,,33,92
2110,note_on,94,0,3,,,,,,,,,2,,,69,0
2110,note_on,94,0,2,,,,,,,,,0,,,69,0
2110,note_on,94,0,5,,,,,,,,,6,,,45,0
2110,note_on,94,0,1,,,,,,,,,11,,,69,0
2110,note_on,94,0,4,,,,,,,,,4,,,64,0
2110,note_on,94,0,6,,,,,,,,,8,,,33,0
2208,note_on,98,0,2,,,,,,,,,0,,,73,110
2208,note_on,98,0,1,,,,,,,,,11,,,73,110
2208,note_on,98,0,3,,,,,,,,,2,,,73,110
2302,note_on,94,0,1,,,,,,,,,11,,,73,0
2302,note_on,94,0,2,,,,,,,,,0,,,73,0
2302,note_on,94,0,3,,,,,,,,,2,,,73,0
2304,note_on,194,0,5,,,,,,,,,6,,,45,92
2304,note_on,2,0,2,,,,,,,,,0,,,69,110
2304,note_on,2,0,3,,,,,,,,,2,,,69,110
2304,note_on,2,0,1,,,,,,,,,11,,,69,110
2304,note_on,194,0,6,,,,,,,,,8,,,33,92
2304,note_on,194,0,4,,,,,,,,,4,,,61,75
2398,note_on,94,0,2,,,,,,,,,0,,,69,0
2398,note_on,94,0,1,,,,,,,,,11,,,69,0
2398,note_on,94,0,3,,,,,,,,,2,,,69,0
2400,note_on,2,0,3,,,,,,,,,2,,,64,110
2400,note_on,2,0,2,,,,,,,,,0,,,64,110
2400,note_on,2,0,1,,,,,,,,,11,,,64,110
2494,note_on,94,0,3,,,,,,,,,2,,,64,0
2494,note_on,94,0,1,,,,,,,,,11,,,64,0
2494,note_on,94,0,2,,,,,,,,,0,,,64,0
2496,note_on,2,0,2,,,,,,,,,0,,,69,110
2496,note_on,2,0,1,,,,,,,,,11,,,69,110
2496,note_on,2,0,3,,,,,,,,,2,,,69,110
2560,note_on,256,0,4,,,,,,,,,4,,,61,0
2560,note_on,256,0,5,,,,,,,,,6,,,45,0
2560,note_on,256,0,6,,,,,,,,,8,,,33,0
2590,note_on,94,0,1,,,,,,,,,11,,,69,0
2590,note_on,94,0,3,,,,,,,,,2,,,69,0
2590,note_on,94,0,2,,,,,,,,,0,,,69,0
2592,note_on,32,0,4,,,,,,,,,4,,,68,75
2592,note_on,2,0,3,,,,,,,,,2,,,71,110
2592,note_on,32,0,6,,,,,,,,,8,,,40,92
2592,note_on,32,0,5,,,,,,,,,6,,,52,92
2592,note_on,2,0,2,,,,,,,,,0,,,71,110
2592,note_on,2,0,1,,,,,,,,,11,,,71,110
2686,note_on,94,0,1,,,,,,,,,11,,,71,0
2686,note_on,94,0,2,,,,,,,,,0,,,71,0
2686,note_on,94,0,3,,,,,,,,,2,,,71,0
2688,note_on,2,0,1,,,,,,,,,11,,,73,110
2688,note_on,2,0,2,,,,,,,,,0,,,73,110
2688,note_on,2,0,3,,,,,,,,,2,,,73,110
2782,note_on,94,0,1,,,,,,,,,11,,,73,0
2782,note_on,94,0,3,,,,,,,,,2,,,73,0
2782,note_on,94,0,2,,,,,,,,,0,,,73,0
2784,note_on,2,0,2,,,,,,,,,0,,,74,110
2784,note_on,2,0,1,,,,,,,,,11,,,74,110
2784,note_on,2,0,3,,,,,,,,,2,,,74,110
2848,note_on,256,0,5,,,,,,,,,6,,,52,0
2848,note_on,256,0,4,,,,,,,,,4,,,68,0
2848,note_on,256,0,6,,,,,,,,,8,,,40,0
2878,note_on,94,0,3,,,,,,,,,2,,,74,0
2878,note_on,94,0,2,,,,,,,,,0,,,74,0
2878,note_on,94,0,1,,,,,,,,,11,,,74,0
2880,note_on,32,0,6,,,,,,,,,8,,,45,92
2880,note_on,2,0,2,,,,,,,,,0,,,74,110
2880,note_on,32,0,4,,,,,,,,,4,,,64,75
2880,note_on,2,0,1,,,,,,,,,11,,,74,110
2880,note_on,2,0,3,,,,,,,,,2,,,74,110
2880,note_on,32,0,5,,,,,,,,,6,,,57,92
3136,note_on,256,0,5,,,,,,,,,6,,,57,0
3136,note_on,256,0,3,,,,,,,,,2,,,74,0
3136,note_on,256,0,1,,,,,,,,,11,,,74,0
3136,note_on,256,0,4,,,,,,,,,4,,,64,0
3136,note_on,256,0,2,,,,,,,,,0,,,74,0
3136,note_on,256,0,6,,,,,,,,,8,,,45,0
3168,note_on,32,0,5,,,,,,,,,6,,,45,92
3168,note_on,32,0,6,,,,,,,,,8,,,33,92
3168,note_on,32,0,4,,,,,,,,,4,,,64,75
3168,note_on,32,0,2,,,,,,,,,0,,,73,110
3168,note_on,32,0,1,,,,,,,,,11,,,73,110
3168,note_on,32,0,3,,,,,,,,,2,,,73,110
3262,note_on,94,0,6,,,,,,,,,8,,,33,0
3262,note_on,94,0,1,,,,,,,,,11,,,73,0
3262,note_on,94,0,2,,,,,,,,,0,,,73,0
3262,note_on,94,0,3,,,,,,,,,2,,,73,0
