tick,type,time,meta,track,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,data,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,end_of_track,0,1,21,,,,,,,,,,,,,
0,track_name,0,1,21,,,,,,,,,,,,,
0,end_of_track,0,1,20,,,,,,,,,,,,,
0,track_name,0,1,20,,,,,,,,,,,,,
0,end_of_track,0,1,19,,,,,,,,,,,,,
0,track_name,0,1,19,,,,,,,,,,,,,
0,track_name,0,1,18,,,,,,,,,,,,,
0,track_name,0,1,17,,,,,,,,,,,,,
0,track_name,0,1,16,,,,,,,,,,,,,
0,track_name,0,1,15,,,,,,,,,,,,,
0,track_name,0,1,14,,,,,,,,,,,,,
0,end_of_track,0,1,13,,,,,,,,,,,,,
0,track_name,0,1,13,,,,,,,,,,,,,
0,track_name,0,1,12,,,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,
0,track_name,0,1,36,,,,,,,,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,track_name,0,1,22,,,,,,,,,,,,,
0,end_of_track,0,1,22,,,,,,,,,,,,,
0,track_name,0,1,23,,,,,,,,,,,,,
0,end_of_track,0,1,23,,,,,,,,,,,,,
0,end_of_track,0,1,35,,,,,,,,,,,,,
0,track_name,0,1,35,,,,,,,,,,,,,
0,end_of_track,0,1,34,,,,,,,,,,,,,
0,track_name,0,1,34,,,,,,,,,,,,,
0,end_of_track,0,1,33,,,,,,,,,,,,,
0,track_name,0,1,33,,,,,,,,,,,,,
0,end_of_track,0,1,32,,,,,,,,,,,,,
0,track_name,0,1,32,,,,,,,,,,,,,
0,end_of_track,0,1,31,,,,,,,,,,,,,
0,track_name,0,1,31,,,,,,,,,,,,,
0,end_of_track,0,1,30,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,track_name,0,1,30,,,,,,,,,,,,,
0,track_name,0,1,29,,,,,,,,,,,,,
0,end_of_track,0,1,28,,,,,,,,,,,,,
0,track_name,0,1,28,,,,,,,,,,,,,
0,end_of_track,0,1,27,,,,,,,,,,,,,
0,track_name,0,1,27,,,,,,,,,,,,,
0,end_of_track,0,1,26,,,,,,,,,,,,,
0,track_name,0,1,26,,,,,,,,,,,,,
0,end_of_track,0,1,25,,,,,,,,,,,,,
0,track_name,0,1,25,,,,,,,,,,,,,
0,end_of_track,0,1,24,,,,,,,,,,,,,
0,track_name,0,1,24,,,,,,,,,,,,,
0,end_of_track,0,1,29,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,end_of_track,0,1,36,,,,,,,,,,,,,
0,key_signature,0,1,0,,Bb,,,,,,,,,,,
0,set_tempo,0,1,0,251046,,,,,,,,,,,,
0,set_tempo,0,1,0,454545,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,sysex,0,0,1,,,,,,,"(65, 16, 66, 18, 0, 0, 127, 0, 1)",,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,time_signature,0,1,0,,,4,4,24,8,,,,,,,
480,sysex,480,0,1,,,,,,,"(65, 16, 66, 18, 64, 0, 4, 127, 61)",,,,,,
960,sysex,480,0,1,,,,,,,"(65, 16, 66, 18, 64, 1, 48, 4, 11)",,,,,,
1920,control_change,1920,0,17,,,,,,,,93,0,14,,,
1920,sysex,0,0,12,,,,,,,"(67, 16, 76, 8, 10, 12, 96)",,,,,,
1920,text,0,1,12,,,,,,,,,,,,,
1920,text,1920,1,12,,,,,,,,,,,,,
1920,control_change,1920,0,9,,,,,,,,93,0,7,,,
1920,control_change,1920,0,4,,,,,,,,93,0,2,,,
1920,control_change,1920,0,8,,,,,,,,93,0,6,,,
1920,control_change,1920,0,3,,,,,,,,93,0,1,,,
1920,control_change,1920,0,5,,,,,,,,93,0,3,,,
1920,control_change,1920,0,7,,,,,,,,93,0,5,,,
1920,control_change,1920,0,6,,,,,,,,93,0,4,,,
1920,control_change,1920,0,16,,,,,,,,93,0,13,,,
1920,control_change,1920,0,18,,,,,,,,93,0,15,,,
1920,control_change,1920,0,2,,,,,,,,93,0,0,,,
1920,control_change,1920,0,11,,,,,,,,93,0,8,,,
1920,control_change,1920,0,14,,,,,,,,93,0,11,,,
1920,control_change,1920,0,15,,,,,,,,93,0,12,,,
1990,text,70,1,12,,,,,,,,,,,,,
1990,sysex,0,0,12,,,,,,,"(67, 16, 76, 8, 10, 13, 42)",,,,,,
2040,control_change,120,0,3,,,,,,,,91,100,1,,,
2040,control_change,120,0,14,,,,,,,,91,100,11,,,
2040,control_change,120,0,11,,,,,,,,91,100,8,,,
2040,control_change,120,0,5,,,,,,,,91,100,3,,,
2040,control_change,120,0,9,,,,,,,,91,100,7,,,
2040,control_change,120,0,17,,,,,,,,91,100,14,,,
2040,control_change,120,0,8,,,,,,,,91,100,6,,,
2040,control_change,120,0,18,,,,,,,,91,100,15,,,
2040,control_change,120,0,6,,,,,,,,91,100,4,,,
2040,control_change,120,0,15,,,,,,,,91,100,12,,,
2040,control_change,120,0,2,,,,,,,,91,100,0,,,
2040,control_change,120,0,16,,,,,,,,91,100,13,,,
2040,control_change,120,0,4,,,,,,,,91,100,2,,,
2040,control_change,120,0,7,,,,,,,,91,100,5,,,
2060,control_change,70,0,12,,,,,,,,93,5,10,,,
2160,control_change,120,0,9,,,,,,,,71,71,7,,,
2160,control_change,120,0,4,,,,,,,,71,71,2,,,
2160,control_change,120,0,3,,,,,,,,71,71,1,,,
2160,control_change,120,0,11,,,,,,,,71,71,8,,,
2160,control_change,120,0,14,,,,,,,,71,71,11,,,
2160,control_change,120,0,18,,,,,,,,71,71,15,,,
2160,control_change,120,0,7,,,,,,,,71,71,5,,,
2160,control_change,120,0,5,,,,,,,,71,71,3,,,
2160,control_change,120,0,15,,,,,,,,71,71,12,,,
2160,control_change,120,0,17,,,,,,,,71,71,14,,,
2160,control_change,120,0,16,,,,,,,,71,71,13,,,
2160,control_change,120,0,2,,,,,,,,71,71,0,,,
2160,control_change,120,0,8,,,,,,,,71,71,6,,,
2160,control_change,120,0,6,,,,,,,,71,71,4,,,
2230,control_change,170,0,12,,,,,,,,91,55,10,,,
2280,control_change,120,0,3,,,,,,,,72,64,1,,,
2280,control_change,120,0,18,,,,,,,,72,64,15,,,
2280,control_change,120,0,15,,,,,,,,72,64,12,,,
2280,control_change,120,0,2,,,,,,,,72,64,0,,,
2280,control_change,120,0,14,,,,,,,,72,64,11,,,
2280,control_change,120,0,9,,,,,,,,72,64,7,,,
2280,control_change,120,0,8,,,,,,,,72,64,6,,,
2280,control_change,120,0,4,,,,,,,,72,64,2,,,
2280,control_change,120,0,16,,,,,,,,72,64,13,,,
2280,control_change,120,0,11,,,,,,,,72,64,8,,,
2280,control_change,120,0,7,,,,,,,,72,64,5,,,
2280,control_change,120,0,6,,,,,,,,72,64,4,,,
2280,control_change,120,0,5,,,,,,,,72,64,3,,,
2280,control_change,120,0,17,,,,,,,,72,64,14,,,
2400,control_change,120,0,4,,,,,,,,73,0,2,,,
2400,control_change,120,0,15,,,,,,,,73,0,12,,,
2400,control_change,120,0,11,,,,,,,,73,0,8,,,
2400,program_change,170,0,12,,,,,,,,,,10,16,,
2400,control_change,120,0,7,,,,,,,,73,0,5,,,
2400,control_change,120,0,17,,,,,,,,73,0,14,,,
2400,control_change,120,0,16,,,,,,,,73,0,13,,,
2400,control_change,120,0,14,,,,,,,,73,0,11,,,
2400,control_change,120,0,18,,,,,,,,73,0,15,,,
2400,control_change,120,0,3,,,,,,,,73,0,1,,,
2400,control_change,120,0,8,,,,,,,,73,0,6,,,
2400,control_change,120,0,5,,,,,,,,73,0,3,,,
2400,control_change,120,0,2,,,,,,,,73,0,0,,,
2400,control_change,120,0,6,,,,,,,,73,0,4,,,
2400,control_change,120,0,9,,,,,,,,73,0,7,,,
2520,control_change,120,0,15,,,,,,,,74,74,12,,,
2520,control_change,120,0,8,,,,,,,,74,74,6,,,
2520,control_change,120,0,4,,,,,,,,74,74,2,,,
2520,control_change,120,0,16,,,,,,,,74,74,13,,,
2520,control_change,120,0,3,,,,,,,,74,74,1,,,
2520,control_change,120,0,6,,,,,,,,74,74,4,,,
2520,control_change,120,0,5,,,,,,,,74,74,3,,,
2520,control_change,120,0,7,,,,,,,,74,74,5,,,
2520,control_change,120,0,2,,,,,,,,74,74,0,,,
2520,control_change,120,0,17,,,,,,,,74,74,14,,,
2520,control_change,120,0,18,,,,,,,,74,74,15,,,
2520,control_change,120,0,14,,,,,,,,74,74,11,,,
2520,control_change,120,0,9,,,,,,,,74,74,7,,,
2520,control_change,120,0,11,,,,,,,,74,74,8,,,
2640,control_change,120,0,17,,,,,,,,32,0,14,,,
2640,control_change,120,0,11,,,,,,,,32,0,8,,,
2640,control_change,120,0,15,,,,,,,,32,0,12,,,
2640,control_change,120,0,4,,,,,,,,32,0,2,,,
2640,control_change,120,0,7,,,,,,,,32,0,5,,,
